"","Within.Variation..SD.","Total.Variation..SD.","Rs","subject","time","repeatability","gen.variance","Average.Expression","Symbol"
"1",0.313856224156575,0.442352388506962,0.927425775137127,0.167945226649531,0.00401322013756058,0.218288647736193,0.228714666567256,4.31691566521688,"TSPAN6"
"2",0.268838428369603,0.384407835387374,0.820488482508176,0.307065898070544,0.00772118238022145,0.33366059062734,0.0333184223317929,9.67928362234988,"DPM1"
"3",0.239611195568633,0.352765322762172,0.839795683261702,0.269176620635607,0.0069345721062664,0.320466476762706,0.0425344694631266,6.9049578796838,"SCYL3"
"4",0.721681543854669,1.16084231337668,1.88420581696189,0.764984533970562,0,0.402106897587055,0.0858810097749379,5.51441261039063,"C1orf112"
"5",0.198667430086913,0.296347310108941,0.785206718993151,0.407280187681826,2.3099340654715e-08,0.428761753834824,0.0265705848812346,11.6724273507027,"FGR"
"6",0.255623529027267,0.478037015386919,0.731071189057681,0.441714879991713,0.0101107969558368,0.53629780429504,0.319364694178585,4.42218378835734,"CFH"
"7",0.197256579063098,0.303862215743031,0.762502747911177,0.440982366428993,0.00307855577089176,0.48612556915021,0.0303539058669777,7.12845180457175,"FUCA2"
"8",0.238309107084566,0.404870467300576,0.700063648104693,0.419452204827829,0.00590707530855001,0.511988501818183,0.0781161492187515,6.77699520177767,"GCLC"
"9",0.2276683574821,0.314651374523097,0.872853320968914,0.241241769507042,0.00918734258601876,0.236361714386797,0.0246802772204396,6.21648050713555,"NFYA"
"10",0.221798336525839,0.293969153572308,0.941056214518319,0.188911348904571,0.00238148956797362,0.256983448021197,0.0222305182876373,4.88315701286762,"STPG1"
"11",0.184988486435589,0.288817595764018,0.768829750464132,0.404795173611292,0.00725036206434559,0.536489756742714,0.0408910808488988,7.59510216958452,"NIPAL3"
"12",0.225120873522678,0.302096393547498,0.904200178457856,0.180427857629528,0.0169004321904232,0.200540253631814,0.0156775665413172,6.82993531733094,"LAS1L"
"13",0.342124835755302,0.564190744402003,0.713612823611676,0.436883774032112,0.00709388709938692,0.593138490993641,0.148622053801533,5.77348195657694,"ENPP4"
"14",0.249812163614703,0.403640107493462,0.851456539568211,0.34479741665797,0.00794471934115881,0.358621320519071,0.0526215308224025,6.96760799106457,"ANKIB1"
"15",0.283006290833111,0.41938024113354,0.847202323842622,0.291081010908823,0.010013420442658,0.289833492224389,0.0739597362271335,6.32197164383227,"KRIT1"
"16",0.227212254728172,0.326371130938566,0.890981594608151,0.265975103388447,0.00400564996313911,0.227268526324027,0.0314787038389442,5.14616766446287,"RAD52"
"17",0.220867007454815,0.317420677255597,0.871512578441425,0.204976672207558,0.00463745473729185,0.241560120015022,0.0316973400383453,6.27534207146029,"BAD"
"18",0.359502682263302,0.724319717702795,0.574634303275828,0.607074312543498,0.0102410860564737,0.69112038847795,0.297842462106635,9.38521755370583,"LAP3"
"19",0.179254127990577,0.360936173037238,0.607630623212645,0.542503599691743,0.0207251435165779,0.581428788665597,0.0591911026110699,10.3213658801376,"CD99"
"20",0.282753961555656,0.49353794161474,0.774988411732019,0.393511965906894,0.00739995658693985,0.439579979087025,0.186129138722294,4.22397387864946,"HS3ST1"
"21",0.304793936651851,0.900981336198754,0.537642621289154,0.724957783239048,0.000819046486669121,0.813934040315862,1.37781947154408,4.44024548357823,"AOC1"
"22",0.300761602827512,0.451309431738473,0.88359931555229,0.159542971158816,0.00121643538858264,0.226255616875763,0.12058152736532,4.02860642081348,"WNT16"
"23",0.258695568732727,0.46499827347217,0.684966719957457,0.472324764110541,0.0323753100487286,0.487100137445933,0.0958777064632345,7.25561010217731,"MAD1L1"
"24",0.174010583542346,0.276167913216891,0.740652838021565,0.39489246671208,3.59214391147019e-10,0.484339918547021,0.0212146199047082,12.4083629040798,"LASP1"
"25",0.177285609672419,0.275331380270401,0.776800584426494,0.307236799190177,9.58903569577648e-10,0.391882472969225,0.0254254094069562,8.56291093746822,"SNX11"
"26",0.276273002578199,1.36159498586102,0.259513128877538,1.04091720030493,0.00263245998648334,1.09338522962021,2.0792380277925,7.64536929770785,"TMEM176A"
"27",0.182092653007151,0.292234939149101,0.74082090223839,0.45723898546506,0.00158641360162546,0.475113593729068,0.033520672552997,9.94903465912092,"M6PR"
"28",0.233152516966871,0.334548729002922,0.861419581610754,0.265064671798062,0.00115209007355781,0.312588050934973,0.0386273270853171,4.85854566843543,"ICA1"
"29",0.256044191397059,0.481750144878274,0.703901906775919,0.514700195906438,0.004064663057988,0.602965522637897,0.191162349515652,5.65187290993228,"DBNDD1"
"30",0.21252566427186,0.318524057462524,0.805849226902514,0.26722666127951,0.0111996529028434,0.308881555893927,0.0244837707265757,5.61882897408725,"ALS2"
"31",0.20650242741458,0.281983111887933,0.859233006186484,0.217939955036031,0.00129290339713439,0.269171807810038,0.0164164700561911,6.434235967524,"CASP10"
"32",0.21863965834619,0.380801528614009,0.687080125393901,0.531574485511323,0.000257839194770065,0.534928623159504,0.0614955738312102,10.8021008889744,"CFLAR"
"33",0.243492800342585,0.426504185664938,0.781008993937443,0.371875861798186,0.00802839736221923,0.470803428667172,0.12052410016351,4.63053897514368,"TFPI"
"34",0.242089482321569,0.334384747885124,0.863664730526424,0.235659856084067,0.0109739346410793,0.301908409254597,0.0282384390963076,5.93668238518588,"NDUFAF7"
"35",0.187142447391689,0.28492528766981,0.809797058357791,0.333486466596143,0.00261068507315927,0.347231136642523,0.0343987261961135,10.0339341341706,"RBM5"
"36",0.280470271252179,0.358925723264193,1.03682434368798,0.117024320679758,0.00347524246058535,0.135819139426201,0.00532431477755633,3.47312577787383,"MTMR7"
