"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P_value_study_count","AdjP_value_study_count"
"4360","SNHG11",10,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll obermoser4BaselineVStwentyFourAll",5,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVStwelveAll",0,0,2,8,0,0,0,2,2
"4361","RPS7P1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4362","AC009005",0,"",0,"",0,0,0,0,0,0,0,0,0
"4363","RABGEF1",12,"meaburn2 goschNineHrMain goschTwelveHrMain goschTwentyoneHrMain obermoser1BaseVSzeroALL obermoser3BaselineVSsevenAll obermoser3BaselineVSthreeAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVStwentyFourAll rusch",4,"goschNineHrMain goschTwelveHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll",0,1,3,7,0,1,0,4,2
"4364","ZNF165",1,"obermoser3BaselineVStwentyEightAll",0,"",0,0,0,1,0,0,0,1,0
"4365","LIMD2",7,"goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain goschTwentyoneHrMain rusch",2,"goschNineHrMain goschSixHrMain",0,0,6,0,0,1,0,2,1
"4366","SPR",4,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain obermoser3BaselineVSsevenAll",1,"goschTwelveHrMain",0,0,3,1,0,0,0,2,1
"4367","APPL1",4,"goschNineHrMain goschSixHrMain goschTwelveHrMain rusch",2,"goschNineHrMain goschTwelveHrMain",0,0,3,0,0,1,0,2,1
"4368","TMEM231",0,"",0,"",0,0,0,0,0,0,0,0,0
"4369","PRKAG2-AS1",1,"goschNineHrMain",1,"goschNineHrMain",0,0,1,0,0,0,0,1,1
"4370","ZMYND19P1",0,"",0,"",0,0,0,0,0,0,0,0,0
"4371","RP11-539L10",0,"",0,"",0,0,0,0,0,0,0,0,0
"4372","DEPTOR",2,"goschTwelveHrMain obermoser3BaselineVStenAll",1,"goschTwelveHrMain",0,0,1,1,0,0,0,2,1
