"","Symbol","P_counts","P_study_names","AdjP_counts","AdjP_study_names","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","P_value_study_count","AdjP_value_study_count"
"420","VPS13A",13,"gomez meaburn2 obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser1BaseVSthreeALL obermoser1BaseVSzeroALL obermoser2BaselineVSsevenAll obermoser3BaselineVSpoint5All obermoser3BaselineVStenAll obermoser3BaselineVSthreeAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSthirtySixAll rusch",2,"obermoser1BaseVSoneALL rusch",1,1,0,10,0,1,0,0,4,2
"421","RP5-908M14",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"422","GTF3C4",7,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser3BaselineVStenAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,1,4,1,0,0,0,0,4,1
"423","MPRIP-AS1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"424","KCND3",2,"gomez goschSixHrMain",0,"",1,0,1,0,0,0,0,0,2,0
"425","EFEMP2",7,"gomez goschThreeHrMain goschTwentyoneHrMain obermoser4BaselineVSfifteenAll obermoser4BaselineVSone obermoser4BaselineVSsixAll rusch",1,"obermoser4BaselineVSfifteenAll",1,0,2,3,0,1,0,0,4,1
"426","FAM98B",8,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVStwentyEightALL obermoser4BaselineVSfortyEightAll rusch",2,"goschNineHrMain goschTwelveHrMain",1,0,4,2,0,1,0,0,4,1
"427","SLC7A8",5,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain obermoser3BaselineVSsevenAll",1,"goschNineHrMain",1,0,3,1,0,0,0,0,3,1
"428","PKD1",8,"gomez meaburn2 goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSfourteenALL obermoser4BaselineVSthirtySixAll",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,4,2,0,0,0,0,4,1
"429","RP11-1046B16",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"430","S1PR1",9,"gomez goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser1BaseVSsevenALL obermoser3BaselineVSthreeAll rusch",5,"goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL",1,0,4,3,0,1,0,0,4,2
"431","ABHD17AP5",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"432","CTC-303L1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"433","WI2-87327B8",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"434","RP11-400F19-18",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"435","CLOCK",7,"gomez meaburn2 goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser4BaselineVSone rusch",3,"goschNineHrMain goschSixHrMain goschTwelveHrMain",1,1,3,1,0,1,0,0,5,1
"436","ZNF441",5,"gomez goschEighteenHrMain goschFifteenHrMain goschTwelveHrMain obermoser1BaseVSsevenALL",1,"goschTwelveHrMain",1,0,3,1,0,0,0,0,3,1
"437","GDPGP1",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"438","ZFP3",8,"gomez goschEighteenHrMain goschFifteenHrMain goschNineHrMain goschSixHrMain goschTwelveHrMain obermoser1BaseVSoneALL obermoser4BaselineVSfortyEightAll",3,"goschFifteenHrMain goschNineHrMain goschTwelveHrMain",1,0,5,2,0,0,0,0,3,1
"439","PERP",11,"gomez goschSixHrMain obermoser1BaseVStenALL obermoser3BaselineVSthreeAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSfortyEightAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthreeAll obermoser4BaselineVStwelveAll rusch",1,"goschSixHrMain",1,0,1,8,0,1,0,0,4,1
"440","PPM1H",3,"gomez goschNineHrMain goschSixHrMain",1,"goschNineHrMain",1,0,2,0,0,0,0,0,2,1
"441","FAM133DP",3,"gomez goschSixHrMain goschThreeHrMain",0,"",1,0,2,0,0,0,0,0,2,0
"442","FBXW4P1",3,"gomez goschFifteenHrMain goschNineHrMain",0,"",1,0,2,0,0,0,0,0,2,0
"443","RP11-875O11",1,"gomez",0,"",1,0,0,0,0,0,0,0,1,0
"444","ATF6B",8,"gomez goschTwentyoneHrMain obermoser2BaselineVSsevenAll obermoser4BaselineVSfifteenAll obermoser4BaselineVSnineAll obermoser4BaselineVSsixAll obermoser4BaselineVSthirtySixAll obermoser4BaselineVSthreeAll",0,"",1,0,1,6,0,0,0,0,3,0
