"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","Study_counts"
"1","TSPAN6",3,"meaburn2.vp gosch.rp meaburn2.rp",0,2,1,0,0,0,0,2
"2","DPM1",2,"obermoser4.vp meaburn1.rp",0,1,0,1,0,0,0,2
"3","SCYL3",7,"meaburn1.sd meaburn1.vp dusek.vp meaburn1.rp meaburn2.rp obermoser2.rp dusek.rp",0,4,0,1,2,0,0,3
"4","C1orf112",0,"",0,0,0,0,0,0,0,0
"5","FGR",5,"gosch.vp meaburn2.vp obermoser1.vp obermoser4.vp obermoser1.rp",0,1,1,3,0,0,0,3
"6","CFH",10,"gomez.vp gosch.vp obermoser1.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser3.rp obermoser4.rp larocca.rp",2,0,2,5,0,0,1,4
"7","FUCA2",4,"gomez.vp gosch.vp obermoser1.rp obermoser3.rp",1,0,1,2,0,0,0,3
"8","GCLC",9,"gosch.vp obermoser4.vp dusek.vp gosch.rp meaburn1.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp",0,1,2,3,2,1,0,5
"9","NFYA",5,"meaburn1.vp rusch.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,0,0,0,2,0,2
"10","STPG1",1,"dusek.rp",0,0,0,0,1,0,0,1
"11","NIPAL3",15,"gomez.vp meaburn1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp",1,3,1,5,2,2,1,7
"12","LAS1L",1,"obermoser1.rp",0,0,0,1,0,0,0,1
"13","ENPP4",10,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp",0,3,1,6,0,0,0,3
"14","ANKIB1",4,"meaburn1.vp meaburn2.vp rusch.vp rusch.rp",0,2,0,0,0,2,0,2
"15","KRIT1",14,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,2,0,8,2,2,0,4
"16","RAD52",7,"gosch.vp meaburn2.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,1,0,1,2,0,4
"17","BAD",5,"meaburn1.vp obermoser3.vp dusek.vp obermoser3.rp dusek.rp",0,1,0,2,2,0,0,3
"18","LAP3",11,"gomez.vp gosch.vp obermoser1.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp",2,2,2,4,0,1,0,5
"19","CD99",9,"rusch.sd gosch.vp obermoser1.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp dusek.rp rusch.rp",0,1,1,2,2,3,0,5
"20","HS3ST1",12,"gomez.vp meaburn1.vp obermoser1.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser3.rp rusch.rp",2,3,1,3,1,2,0,6
"21","AOC1",18,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,2,1,1,7
"22","WNT16",2,"meaburn2.rp larocca.rp",0,1,0,0,0,0,1,2
"23","MAD1L1",13,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,2,0,7,2,2,0,4
"24","LASP1",5,"meaburn1.vp obermoser2.vp obermoser3.vp obermoser4.vp meaburn1.rp",0,2,0,3,0,0,0,2
"25","SNX11",7,"meaburn1.vp obermoser2.vp obermoser4.vp larocca.vp meaburn1.rp obermoser3.rp obermoser4.rp",0,2,0,4,0,0,1,3
"26","TMEM176A",21,"meaburn2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,2,8,2,2,2,7
"27","M6PR",8,"gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp meaburn1.rp obermoser2.rp dusek.rp",0,2,1,4,1,0,0,4
"28","ICA1",7,"meaburn1.vp obermoser1.vp obermoser3.vp dusek.vp meaburn1.rp obermoser3.rp larocca.rp",0,2,0,3,1,0,1,4
"29","DBNDD1",15,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser3.vp obermoser4.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,2,2,6,0,1,2,6
"30","ALS2",6,"meaburn2.vp obermoser3.vp obermoser4.vp meaburn1.rp meaburn2.rp obermoser4.rp",0,3,0,3,0,0,0,2
"31","CASP10",2,"dusek.rp rusch.rp",0,0,0,0,1,1,0,2
"32","CFLAR",14,"meaburn2.sd meaburn1.vp meaburn2.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp",0,5,0,5,2,2,0,4
"33","TFPI",12,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp",2,1,0,8,0,1,0,4
"34","NDUFAF7",7,"meaburn2.vp obermoser2.vp obermoser3.vp dusek.vp meaburn2.rp obermoser3.rp dusek.rp",0,2,0,3,2,0,0,3
"35","RBM5",7,"meaburn1.vp meaburn2.vp dusek.vp meaburn1.rp meaburn2.rp dusek.rp rusch.rp",0,4,0,0,2,1,0,3
"36","MTMR7",0,"",0,0,0,0,0,0,0,0
"37","ARF5",5,"obermoser2.vp obermoser3.vp dusek.vp obermoser3.rp dusek.rp",0,0,0,3,2,0,0,2
"38","SARM1",1,"obermoser1.vp",0,0,0,1,0,0,0,1
"39","POLDIP2",1,"gosch.vp",0,0,1,0,0,0,0,1
"40","PLXND1",3,"gosch.vp dusek.vp meaburn1.rp",0,1,1,0,1,0,0,3
"41","AK2",12,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn2.rp obermoser3.rp dusek.rp",0,3,1,5,2,1,0,5
"42","CD38",10,"meaburn2.sd gosch.vp meaburn1.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp rusch.rp larocca.rp",1,4,1,0,1,2,1,6
"43","FKBP4",4,"meaburn1.vp meaburn2.vp meaburn1.rp meaburn2.rp",0,4,0,0,0,0,0,1
"44","KDM1A",3,"meaburn1.vp obermoser1.vp obermoser1.rp",0,1,0,2,0,0,0,2
"45","RBM6",11,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp",0,2,1,7,0,0,1,4
"46","CAMKK1",3,"dusek.vp larocca.vp meaburn2.rp",0,1,0,0,1,0,1,3
"47","RECQL",8,"meaburn1.vp meaburn2.vp obermoser3.vp dusek.vp meaburn1.rp meaburn2.rp obermoser3.rp dusek.rp",0,4,0,2,2,0,0,3
"48","VPS50",6,"gomez.vp dusek.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp",1,1,0,3,1,0,0,4
"49","ARHGAP33",3,"dusek.vp dusek.rp rusch.rp",0,0,0,0,2,1,0,2
"50","NDUFAB1",6,"meaburn1.sd obermoser3.vp obermoser4.vp meaburn1.rp obermoser1.rp dusek.rp",0,2,0,3,1,0,0,3
"51","PDK4",5,"obermoser2.vp rusch.vp meaburn1.rp meaburn2.rp obermoser2.rp",0,2,0,2,0,1,0,3
"52","SLC22A16",14,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",0,3,2,6,1,1,1,6
"53","ZMYND10",3,"dusek.vp dusek.rp rusch.rp",0,0,0,0,2,1,0,2
"54","SLC25A13",3,"meaburn2.vp meaburn2.rp rusch.rp",0,2,0,0,0,1,0,2
"55","ST7",8,"gomez.vp obermoser1.vp obermoser2.vp dusek.vp gomez.rp obermoser1.rp obermoser2.rp obermoser3.rp",2,0,0,5,1,0,0,3
"56","CDC27",5,"gosch.vp meaburn2.vp gosch.rp meaburn2.rp rusch.rp",0,2,2,0,0,1,0,3
"57","SLC4A1",16,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,0,2,6,2,2,2,6
"58","HCCS",2,"larocca.vp rusch.rp",0,0,0,0,0,1,1,2
"59","DVL2",1,"obermoser1.vp",0,0,0,1,0,0,0,1
"60","UPF1",4,"meaburn1.vp obermoser2.vp meaburn1.rp obermoser2.rp",0,2,0,2,0,0,0,2
"61","SKAP2",21,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,5,2,8,2,2,1,7
"62","SLC25A5",6,"gosch.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp obermoser1.rp",0,0,1,4,0,0,1,3
"63","MCUB",10,"obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",0,1,0,6,2,1,0,4
"64","POLR2J",11,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp",0,1,0,7,2,0,1,4
"65","DHX33",3,"obermoser3.vp obermoser3.rp rusch.rp",0,0,0,2,0,1,0,2
"66","MEOX1",9,"obermoser1.vp obermoser3.vp obermoser4.vp larocca.vp meaburn1.rp meaburn2.rp obermoser3.rp dusek.rp larocca.rp",0,2,0,4,1,0,2,4
"67","LIG3",4,"meaburn1.vp meaburn1.rp obermoser2.rp rusch.rp",0,2,0,1,0,1,0,3
"68","RPAP3",9,"meaburn2.sd meaburn1.vp obermoser2.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp dusek.rp rusch.rp",0,4,0,1,2,2,0,4
"69","ACSM3",0,"",0,0,0,0,0,0,0,0
"70","AC004381",0,"",0,0,0,0,0,0,0,0
"71","CIAPIN1",5,"meaburn1.vp meaburn2.vp dusek.vp meaburn1.rp dusek.rp",0,3,0,0,2,0,0,2
"72","SPPL2B",3,"meaburn2.vp meaburn2.rp obermoser3.rp",0,2,0,1,0,0,0,2
"73","FAM214B",2,"gosch.vp gosch.rp",0,0,2,0,0,0,0,1
"74","COPZ2",2,"larocca.vp larocca.rp",0,0,0,0,0,0,2,1
"75","PRKAR2B",6,"dusek.vp larocca.vp gomez.rp gosch.rp rusch.rp larocca.rp",1,0,1,0,1,1,2,5
"76","MSL3",9,"obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp meaburn1.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp",0,1,0,5,2,1,0,4
"77","CREBBP",8,"meaburn2.sd meaburn2.vp obermoser1.vp obermoser4.vp rusch.vp meaburn1.rp meaburn2.rp obermoser4.rp",0,4,0,3,0,1,0,3
"78","TSPOAP1",5,"obermoser1.vp obermoser4.vp gomez.rp obermoser1.rp obermoser4.rp",1,0,0,4,0,0,0,2
"79","MPO",8,"gomez.vp obermoser1.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp larocca.rp",2,1,1,2,0,1,1,6
"80","GCFC2",4,"meaburn2.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,0,0,0,1,0,2
"81","WDR54",10,"obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp meaburn1.rp obermoser1.rp rusch.rp larocca.rp",0,1,0,4,1,2,2,5
"82","CROT",1,"meaburn1.rp",0,1,0,0,0,0,0,1
"83","ABCB4",7,"gosch.vp meaburn1.vp meaburn2.vp meaburn1.rp meaburn2.rp rusch.rp larocca.rp",0,4,1,0,0,1,1,4
"84","KMT2E",9,"gomez.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp meaburn1.rp obermoser2.rp obermoser3.rp rusch.rp",1,2,0,5,0,1,0,4
"85","RHBDD2",3,"obermoser3.vp dusek.vp dusek.rp",0,0,0,1,2,0,0,2
"86","SOX8",14,"gomez.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",2,2,1,7,0,0,2,5
"87","IBTK",1,"gosch.vp",0,0,1,0,0,0,0,1
"88","ZNF195",6,"meaburn1.vp meaburn2.vp obermoser4.vp meaburn1.rp meaburn2.rp obermoser4.rp",0,4,0,2,0,0,0,2
"89","MYCBP2",6,"meaburn1.vp obermoser2.vp obermoser4.vp larocca.vp obermoser4.rp larocca.rp",0,1,0,3,0,0,2,3
"90","FBXL3",3,"gosch.vp dusek.vp meaburn1.rp",0,1,1,0,1,0,0,3
"91","ITGAL",4,"obermoser1.vp obermoser2.vp dusek.vp dusek.rp",0,0,0,2,2,0,0,2
"92","PDK2",4,"gomez.vp obermoser1.vp obermoser1.rp rusch.rp",1,0,0,2,0,1,0,3
"93","ITGA3",2,"larocca.vp rusch.rp",0,0,0,0,0,1,1,2
"94","ZFX",4,"meaburn2.sd obermoser1.vp meaburn2.rp rusch.rp",0,2,0,1,0,1,0,3
"95","LAMP2",13,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp rusch.rp",0,5,1,6,0,1,0,4
"96","ITGA2B",17,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,1,2,8,2,2,0,6
"97","GDE1",17,"obermoser2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,1,2,9,1,2,1,7
"98","C19orf60",0,"",0,0,0,0,0,0,0,0
"99","OSBPL7",3,"obermoser2.vp rusch.vp obermoser2.rp",0,0,0,2,0,1,0,2
"100","MAP3K14",2,"dusek.vp rusch.vp",0,0,0,0,1,1,0,2
"101","AP2B1",9,"gomez.vp obermoser1.vp obermoser3.vp obermoser4.vp rusch.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",1,0,0,7,0,1,0,3
"102","ZNF263",4,"obermoser3.vp obermoser4.vp obermoser1.rp dusek.rp",0,0,0,3,1,0,0,2
"103","SPATA20",18,"gomez.vp gosch.vp meaburn1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,7,2,1,2,7
"104","TNFRSF12A",2,"rusch.rp larocca.rp",0,0,0,0,0,1,1,2
"105","MAP3K9",0,"",0,0,0,0,0,0,0,0
"106","RALA",5,"obermoser2.vp rusch.vp meaburn1.rp obermoser1.rp rusch.rp",0,1,0,2,0,2,0,3
"107","BAIAP2L1",1,"dusek.vp",0,0,0,0,1,0,0,1
"108","KDM7A",3,"rusch.vp meaburn2.rp rusch.rp",0,1,0,0,0,2,0,2
"109","AGK",5,"meaburn2.sd meaburn2.vp meaburn1.rp meaburn2.rp rusch.rp",0,4,0,0,0,1,0,2
"110","ALDH3B1",13,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",0,1,1,8,2,1,0,5
"111","TTC22",6,"meaburn2.sd meaburn2.vp dusek.vp larocca.vp meaburn2.rp dusek.rp",0,3,0,0,2,0,1,3
"112","PHTF2",5,"meaburn2.vp obermoser1.vp meaburn1.rp meaburn2.rp obermoser3.rp",0,3,0,2,0,0,0,2
"113","FARP2",5,"meaburn2.vp obermoser4.vp dusek.vp meaburn2.rp obermoser4.rp",0,2,0,2,1,0,0,3
"114","GGCT",3,"meaburn1.vp obermoser1.vp meaburn1.rp",0,2,0,1,0,0,0,2
"115","DBF4",3,"gosch.vp meaburn1.vp meaburn1.rp",0,2,1,0,0,0,0,2
"116","TBXA2R",9,"rusch.sd meaburn2.vp dusek.vp gosch.rp meaburn1.rp meaburn2.rp dusek.rp rusch.rp larocca.rp",0,3,1,0,2,2,1,5
"117","IFRD1",13,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",0,3,1,7,0,1,1,5
"118","COX10",3,"obermoser4.vp rusch.vp meaburn1.rp",0,1,0,1,0,1,0,3
"119","PAF1",0,"",0,0,0,0,0,0,0,0
"120","VPS41",9,"gosch.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp meaburn2.rp obermoser3.rp obermoser4.rp rusch.rp",0,1,1,5,0,2,0,4
"121","ELAC2",3,"dusek.vp rusch.vp rusch.rp",0,0,0,0,1,2,0,2
"122","ARSD",10,"meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp",0,3,0,5,2,0,0,3
"123","PNPLA4",0,"",0,0,0,0,0,0,0,0
"124","ADIPOR2",2,"meaburn2.vp obermoser1.vp",0,1,0,1,0,0,0,2
"125","PRSS21",14,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",1,3,2,6,1,0,1,6
"126","MARK4",3,"dusek.vp larocca.vp dusek.rp",0,0,0,0,2,0,1,2
"127","CCDC124",6,"obermoser1.vp dusek.vp rusch.vp gosch.rp obermoser1.rp dusek.rp",0,0,1,2,2,1,0,4
"128","CEACAM21",16,"gomez.sd meaburn1.sd meaburn2.sd rusch.sd gomez.vp meaburn1.vp meaburn2.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp dusek.rp rusch.rp larocca.rp",3,6,0,0,2,3,2,5
"129","PAFAH1B1",8,"meaburn1.vp meaburn2.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp dusek.rp rusch.rp",0,4,0,0,2,2,0,3
"130","KIAA0100",1,"gosch.vp",0,0,1,0,0,0,0,1
"131","GAS7",16,"meaburn2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp",0,4,1,8,1,2,0,5
"132","TRAPPC6A",2,"obermoser1.rp obermoser2.rp",0,0,0,2,0,0,0,1
"133","MATK",15,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp",2,2,2,6,2,0,1,6
"134","CD79B",18,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,1,8,2,1,2,7
"135","ST7L",2,"dusek.vp meaburn2.rp",0,1,0,0,1,0,0,2
"136","TKTL1",15,"gosch.vp meaburn1.vp obermoser1.vp obermoser4.vp rusch.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",0,3,2,6,1,2,1,6
"137","RPUSD1",5,"meaburn1.vp obermoser2.vp obermoser3.vp obermoser2.rp obermoser3.rp",0,1,0,4,0,0,0,2
"138","LUC7L",8,"gomez.vp gosch.vp obermoser1.vp obermoser4.vp dusek.vp rusch.vp dusek.rp rusch.rp",1,0,1,2,2,2,0,5
"139","CACNA2D2",9,"obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",1,0,1,7,0,0,0,3
"140","BAIAP3",8,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp larocca.vp gomez.rp gosch.rp larocca.rp",2,2,2,0,0,0,2,4
"141","TSR3",4,"dusek.vp meaburn2.rp dusek.rp rusch.rp",0,1,0,0,2,1,0,3
"142","PIGQ",10,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",0,2,1,7,0,0,0,3
"143","CRAMP1",0,"",0,0,0,0,0,0,0,0
"144","DNAJC11",1,"dusek.vp",0,0,0,0,1,0,0,1
"145","MYLIP",14,"meaburn1.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp",0,5,0,5,2,2,0,4
"146","E2F2",17,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,2,6,2,2,2,7
"147","PSMB1",5,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.rp",0,1,0,3,1,0,0,3
"148","JARID2",10,"gosch.vp meaburn1.vp obermoser1.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,1,3,0,2,1,5
"149","CDKL5",4,"meaburn2.vp meaburn1.rp meaburn2.rp rusch.rp",0,3,0,0,0,1,0,2
"150","CDK11A",1,"gomez.vp",1,0,0,0,0,0,0,1
"151","NADK",15,"meaburn1.sd meaburn2.sd gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp dusek.rp rusch.rp",0,5,1,6,2,1,0,5
"152","DLEC1",6,"obermoser2.vp dusek.vp rusch.vp obermoser2.rp dusek.rp rusch.rp",0,0,0,2,2,2,0,3
"153","CYTH3",6,"gosch.vp meaburn1.vp dusek.vp meaburn1.rp meaburn2.rp obermoser1.rp",0,3,1,1,1,0,0,4
"154","ADAM22",4,"gosch.vp rusch.vp meaburn2.rp dusek.rp",0,1,1,0,1,1,0,4
"155","SYPL1",12,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",0,1,1,7,2,1,0,5
"156","CYB561",8,"meaburn1.sd gomez.vp meaburn1.vp meaburn2.vp dusek.vp meaburn1.rp obermoser1.rp dusek.rp",1,4,0,1,2,0,0,4
"157","SPAG9",15,"meaburn1.sd meaburn2.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser4.vp dusek.vp rusch.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",0,6,0,5,2,2,0,4
"158","CELSR3",6,"obermoser1.vp obermoser3.vp gosch.rp obermoser1.rp obermoser3.rp obermoser4.rp",0,0,1,5,0,0,0,2
"159","AASS",5,"gosch.vp dusek.vp larocca.vp gosch.rp larocca.rp",0,0,2,0,1,0,2,3
"160","PLEKHG6",1,"rusch.rp",0,0,0,0,0,1,0,1
"161","SS18L2",2,"obermoser1.vp meaburn1.rp",0,1,0,1,0,0,0,2
"162","MPND",0,"",0,0,0,0,0,0,0,0
"163","MGST1",16,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",0,2,1,8,2,1,2,6
"164","CRY1",4,"gosch.vp obermoser1.vp meaburn1.rp obermoser1.rp",0,1,1,2,0,0,0,3
"165","PGLYRP1",15,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",1,2,0,8,1,2,1,6
"166","NFIX",12,"gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp larocca.rp",1,0,2,6,1,1,1,6
"167","ST3GAL1",16,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp",0,4,2,8,0,2,0,4
"168","MMP25",17,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,2,2,8,2,2,0,6
"169","IL32",17,"obermoser2.sd gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,0,9,2,2,2,6
"170","PKD1",4,"dusek.vp larocca.vp meaburn1.rp rusch.rp",0,1,0,0,1,1,1,4
"171","MED24",3,"obermoser1.vp obermoser1.rp obermoser2.rp",0,0,0,3,0,0,0,1
"172","RHOBTB2",5,"meaburn1.vp meaburn2.vp dusek.vp gosch.rp meaburn1.rp",0,3,1,0,1,0,0,3
"173","HEATR5B",7,"meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp meaburn2.rp rusch.rp larocca.rp",0,2,0,2,1,1,1,5
"174","SEC62",4,"meaburn1.vp gosch.rp meaburn1.rp rusch.rp",0,2,1,0,0,1,0,3
"175","RPS20",9,"gosch.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gosch.rp obermoser1.rp dusek.rp rusch.rp",0,0,2,3,2,2,0,4
"176","CSDE1",5,"obermoser1.vp dusek.vp obermoser3.rp obermoser4.rp dusek.rp",0,0,0,3,2,0,0,2
