"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"7196","GPN1","1800.45434904439","2650.00824041926","6176.58592340024","12893.9955167438","9060.82224905482","12499.6387882133","8040.62448013791","14074.497341912",6854.00056615867,11750
"23446","WDR81","5469.17852534617","4284.10924891475","12296.0931743145","4760.11701422395","10982.0396224205","5556.97686340575","5411.44424251032","10755.0005078426",6854.11802733111,11751
"3508","CHD8","3621.81591813222","4310.43519848259","7459.62983517487","6803.30015103256","10460.1666332299","7467.45189515584","6054.48297680253","13002.8752731573",6854.31386545194,11752
"17412","RNF40","4613.94750567358","4694.81833575449","7224.17746610877","7603.87148245777","9284.67997825035","6331.62898178033","5870.44870600963","11867.9138263224",6854.5719092092,11753
"21657","TIMM17B","4323.59795975976","2701.59899603334","11854.2064669476","7376.02604981188","7769.34755837558","7685.95625098905","6291.15397618444","12707.2495856481",6854.9324797295,11754
"21283","TBC1D10C","4766.8435432217","3557.00927787098","10098.7692434379","6373.92890138463","7982.58729373126","5943.51362777455","5331.7934293213","17661.6421447157",6855.045817072,11755
"21852","TMEM180","3962.2079703115","4432.6662405374","5562.56829171562","10457.580312864","9212.30345787632","9972.6754684989","7146.55581381689","7279.45121557937",6856.23235020431,11756
"6011","FAM185BP","7601","7802","5919.99999999999","8956","5771","6565.99999999999","7622","5382",6857.00762794325,11757
"3927","COPZ1","3386.58066051873","2937.28286038683","7980.15273812455","9379.88883490755","7175.68681102622","9014.28957655744","6588.51391290381","15403.5640381648",6857.09189328414,11758
"15905","PMM1","5583.06327512669","5113.51585271699","7679.89062167025","7815.4210886552","7370.69581211682","7224.14269318662","6172.49773242022","8681.26576106433",6857.325993023,11759
"14387","NIPBL.AS1","11332","10453","10356","5112","3432.5","5194","8254","5299",6857.45015951791,11760
"5151","DRC1","14254.8814796897","13182.2206399377","12233.8755919782","3806.11718159071","6819.92481630113","4960.95152163373","10664.833332031","1548.83181785499",6857.45021552167,11761
"12572","MER34C.ERV1.LTR","14548","14192","9396","11836","3432.5","10640","14544","401",6857.59620430459,11762
"20370","SNORD1A","14404","12974","14368","2786","8059.49999999999","5749","9969.99999999999","1416",6858.02647271154,11763
"643","AF127936.9","13951","13291","10731","7117.99999999999","11926","7569","12932","296",6858.1422129619,11764
"24051","ZNF280B","10259.1168381268","8205.95241351145","12360.7382168685","4501.37145784552","7763.24749749049","5633.78254036766","7002.87913967366","3411.49702297928",6858.22408899835,11765
