"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"3012","C2CD5",2,"gomez.vp obermoser3.vp",1,0,0,1,0,0,0,0,2
"3013","RAB35",0,"",0,0,0,0,0,0,0,0,0
"3014","PHC1",3,"gosch.vp meaburn2.vp obermoser1.rp",0,1,1,1,0,0,0,0,3
"3015","COX6A1",3,"gomez.vp dusek.vp karlovich2.vp",1,0,0,0,1,0,0,1,3
"3016","RIC8B",0,"",0,0,0,0,0,0,0,0,0
"3017","SRSF9",6,"gomez.vp gosch.vp obermoser3.vp obermoser4.vp dusek.vp dusek.rp",1,0,1,2,2,0,0,0,4
"3018","RP11-22B23",0,"",0,0,0,0,0,0,0,0,0
"3019","FGFR1OP2",11,"gomez.vp gosch.vp meaburn1.vp dusek.vp gosch.rp meaburn1.rp meaburn2.rp rusch.rp larocca.rp karlovich1.rp karlovich2.rp",1,3,2,0,1,1,1,2,7
"3020","KLRB1",17,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp dusek.rp larocca.rp karlovich1.rp karlovich2.rp",2,2,2,4,2,0,1,4,7
"3021","BTN3A3",18,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp larocca.vp karlovich1.vp karlovich2.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp karlovich1.rp karlovich2.rp",0,3,1,7,2,0,1,4,6
"3022","TDP2",2,"gomez.rp meaburn2.rp",1,1,0,0,0,0,0,0,2
"3023","DSE",13,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp karlovich1.vp karlovich2.vp obermoser2.rp larocca.rp karlovich1.rp karlovich2.rp",1,0,1,5,0,0,2,4,5
"3024","RWDD1",3,"obermoser2.vp obermoser3.vp larocca.rp",0,0,0,2,0,0,1,0,2
"3025","MAK",13,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp",1,3,0,8,0,1,0,0,4
"3026","TMEM14C",16,"meaburn2.sd obermoser4.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp karlovich2.rp",0,4,1,7,2,0,0,2,5
"3027","PAK1IP1",2,"obermoser1.rp obermoser3.rp",0,0,0,2,0,0,0,0,1
"3028","GCNT2",7,"gomez.vp gosch.vp obermoser4.vp larocca.vp gomez.rp obermoser4.rp larocca.rp",2,0,1,2,0,0,2,0,4
"3029","SMIM8",1,"meaburn2.rp",0,1,0,0,0,0,0,0,1
"3030","NEDD9",10,"meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp rusch.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp karlovich1.rp",0,4,0,4,0,1,0,1,4
"3031","CEP85L",3,"obermoser4.vp obermoser4.rp karlovich1.rp",0,0,0,2,0,0,0,1,2
"3032","ADTRP",16,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp karlovich1.rp karlovich2.rp",1,2,1,8,0,1,1,2,7
"3033","ASF1A",5,"obermoser3.vp dusek.vp meaburn1.rp obermoser1.rp dusek.rp",0,1,0,2,2,0,0,0,3
"3034","MCM9",3,"meaburn2.vp meaburn2.rp rusch.rp",0,2,0,0,0,1,0,0,2
"3035","FAM184A",1,"larocca.rp",0,0,0,0,0,0,1,0,1
"3036","RNGTT",10,"gomez.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp larocca.vp meaburn1.rp meaburn2.rp obermoser4.rp rusch.rp",1,3,0,4,0,1,1,0,5
"3037","MAN1A1",6,"meaburn1.sd gosch.vp meaburn1.vp meaburn1.rp meaburn2.rp karlovich1.rp",0,4,1,0,0,0,0,1,3
"3038","GABRR2",2,"gomez.vp gomez.rp",2,0,0,0,0,0,0,0,1
"3039","SERINC1",2,"gosch.vp meaburn2.vp",0,1,1,0,0,0,0,0,2
"3040","HDDC2",10,"obermoser1.vp obermoser2.vp dusek.vp karlovich1.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp dusek.rp karlovich2.rp",0,2,0,3,2,0,0,3,4
"3041","HINT3",3,"meaburn2.vp meaburn2.rp rusch.rp",0,2,0,0,0,1,0,0,2
"3042","NCOA7",4,"obermoser4.vp karlovich2.vp meaburn2.rp karlovich2.rp",0,1,0,1,0,0,0,2,3
"3043","FAM65B",2,"gosch.vp larocca.vp",0,0,1,0,0,0,1,0,2
"3044","SASH1",15,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,2,1,8,0,1,1,0,6
"3045","UST",6,"gosch.vp meaburn1.vp obermoser1.vp gosch.rp obermoser1.rp larocca.rp",0,1,2,2,0,0,1,0,4
"3046","FBXO5",2,"gosch.vp meaburn1.rp",0,1,1,0,0,0,0,0,2
"3047","MTRF1L",5,"gosch.vp obermoser3.vp karlovich2.vp gosch.rp karlovich2.rp",0,0,2,1,0,0,0,2,3
"3048","PPARD",3,"meaburn2.vp dusek.vp meaburn2.rp",0,2,0,0,1,0,0,0,2
"3049","FANCE",0,"",0,0,0,0,0,0,0,0,0
"3050","SLC26A8",9,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gosch.rp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp",0,1,1,7,0,0,0,0,3
"3051","MAPK14",12,"gomez.vp meaburn1.vp obermoser1.vp obermoser2.vp rusch.vp karlovich1.vp karlovich2.vp meaburn2.rp obermoser1.rp obermoser2.rp rusch.rp karlovich1.rp",1,2,0,4,0,2,0,3,5
"3052","RHAG",6,"gosch.vp obermoser1.vp obermoser4.vp gosch.rp obermoser1.rp obermoser4.rp",0,0,2,4,0,0,0,0,2
"3053","KCTD20",6,"obermoser2.vp obermoser3.vp rusch.vp karlovich1.vp obermoser2.rp obermoser4.rp",0,0,0,4,0,1,0,1,3
"3054","STK38",5,"gomez.vp meaburn2.vp dusek.vp meaburn2.rp dusek.rp",1,2,0,0,2,0,0,0,3
"3055","SRSF3",6,"karlovich2.sd meaburn1.vp karlovich2.vp meaburn1.rp karlovich1.rp karlovich2.rp",0,2,0,0,0,0,0,4,2
"3056","SOD2",20,"rusch.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp karlovich1.rp karlovich2.rp",1,4,1,8,0,3,0,3,6
"3057","MRPL18",5,"meaburn1.vp obermoser3.vp larocca.vp obermoser4.rp karlovich2.rp",0,1,0,2,0,0,1,1,4
"3058","MCM3",2,"gosch.vp obermoser1.vp",0,0,1,1,0,0,0,0,2
"3059","RNF8",2,"meaburn1.vp karlovich2.vp",0,1,0,0,0,0,0,1,2
"3060","PHACTR1",7,"gomez.vp obermoser3.vp obermoser4.vp larocca.vp meaburn2.rp obermoser3.rp obermoser4.rp",1,1,0,4,0,0,1,0,4
"3061","MDGA1",6,"gomez.vp gosch.vp larocca.vp gomez.rp gosch.rp larocca.rp",2,0,2,0,0,0,2,0,3
"3062","ICK",0,"",0,0,0,0,0,0,0,0,0
"3063","FBXO9",19,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp karlovich1.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp karlovich1.rp karlovich2.rp",2,1,2,8,1,2,0,3,7
"3064","CD83",3,"obermoser1.vp obermoser3.vp obermoser1.rp",0,0,0,3,0,0,0,0,1
"3065","MDN1",4,"larocca.vp dusek.rp larocca.rp karlovich2.rp",0,0,0,0,1,0,2,1,3
"3066","SAYSD1",13,"obermoser2.sd gosch.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp karlovich1.vp karlovich2.vp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",0,0,2,8,1,0,0,2,4
"3067","BACH2",11,"obermoser1.vp obermoser2.vp obermoser4.vp karlovich2.vp gomez.rp meaburn2.rp obermoser1.rp obermoser4.rp rusch.rp larocca.rp karlovich2.rp",1,1,0,5,0,1,1,2,6
"3068","TREML2",8,"gosch.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp meaburn1.rp obermoser2.rp obermoser4.rp",0,1,1,5,0,0,1,0,4
"3069","ZNF451",3,"gosch.vp rusch.vp dusek.rp",0,0,1,0,1,1,0,0,3
"3070","BAG2",3,"meaburn1.vp meaburn1.rp rusch.rp",0,2,0,0,0,1,0,0,2
"3071","TSPO2",4,"gomez.vp obermoser1.vp gomez.rp gosch.rp",2,0,1,1,0,0,0,0,3
"3072","KHDRBS2",2,"gomez.vp gomez.rp",2,0,0,0,0,0,0,0,1
"3073","FBXL4",6,"gosch.vp meaburn1.vp rusch.vp gosch.rp meaburn1.rp rusch.rp",0,2,2,0,0,2,0,0,3
"3074","CCNC",5,"gosch.vp obermoser2.vp meaburn1.rp obermoser2.rp obermoser4.rp",0,1,1,3,0,0,0,0,3
"3075","E2F3",9,"gomez.vp gosch.vp meaburn2.vp karlovich1.vp karlovich2.vp meaburn2.rp rusch.rp larocca.rp karlovich1.rp",1,2,1,0,0,1,1,3,6
"3076","ASCC3",3,"karlovich2.vp rusch.rp karlovich2.rp",0,0,0,0,0,1,0,2,2
"3077","MED23",1,"rusch.rp",0,0,0,0,0,1,0,0,1
"3078","WASF1",1,"meaburn1.sd",0,1,0,0,0,0,0,0,1
"3079","GPLD1",2,"gosch.rp larocca.rp",0,0,1,0,0,0,1,0,2
"3080","ALDH5A1",14,"obermoser2.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp larocca.rp karlovich1.rp",2,0,2,7,0,1,1,1,6
"3081","AIM1",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3082","VNN1",19,"meaburn2.sd gomez.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp karlovich1.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp karlovich1.rp karlovich2.rp",2,4,0,8,0,1,1,3,6
"3083","VNN2",17,"meaburn2.sd gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp karlovich2.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp karlovich1.rp karlovich2.rp",2,3,0,8,0,0,1,3,5
"3084","ACOT13",0,"",0,0,0,0,0,0,0,0,0
"3085","SMAP1",2,"larocca.vp rusch.rp",0,0,0,0,0,1,1,0,2
"3086","RPS12",11,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp karlovich1.vp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",0,0,1,8,0,0,1,1,4
"3087","C6orf62",9,"gosch.vp meaburn2.vp obermoser4.vp dusek.vp karlovich1.vp gosch.rp obermoser3.rp rusch.rp karlovich1.rp",0,1,2,2,1,1,0,2,6
"3088","GMNN",2,"gosch.vp meaburn1.rp",0,1,1,0,0,0,0,0,2
"3089","SOBP",0,"",0,0,0,0,0,0,0,0,0
"3090","SNX3",12,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp karlovich1.vp gosch.rp obermoser1.rp karlovich1.rp",1,2,2,4,1,0,0,2,6
"3091","HBS1L",6,"meaburn1.sd meaburn1.vp meaburn2.vp meaburn1.rp meaburn2.rp obermoser4.rp",0,5,0,1,0,0,0,0,2
"3092","TRIM38",7,"gomez.vp meaburn1.vp obermoser3.vp obermoser4.vp dusek.vp obermoser3.rp obermoser4.rp",1,1,0,4,1,0,0,0,4
"3093","PEX7",0,"",0,0,0,0,0,0,0,0,0
"3094","ZBTB24",3,"obermoser2.vp dusek.vp karlovich1.vp",0,0,0,1,1,0,0,1,3
"3095","FIG4",3,"gomez.vp rusch.vp karlovich2.vp",1,0,0,0,0,1,0,1,3
"3096","PERP",7,"gosch.vp larocca.vp karlovich2.vp gosch.rp meaburn1.rp larocca.rp karlovich2.rp",0,1,2,0,0,0,2,2,4
"3097","SLC16A10",13,"gomez.vp gosch.vp obermoser1.vp obermoser3.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp",2,2,2,6,0,1,0,0,5
"3098","HECA",1,"meaburn2.vp",0,1,0,0,0,0,0,0,1
"3099","PHACTR2",6,"meaburn1.vp rusch.vp karlovich2.vp obermoser1.rp rusch.rp karlovich2.rp",0,1,0,1,0,2,0,2,4
"3100","EPM2A",0,"",0,0,0,0,0,0,0,0,0
"3101","SLC39A7",0,"",0,0,0,0,0,0,0,0,0
"3102","PHF1",4,"gosch.vp meaburn2.vp obermoser3.vp obermoser3.rp",0,1,1,2,0,0,0,0,3
"3103","CUTA",7,"obermoser3.vp obermoser4.vp karlovich2.vp obermoser1.rp obermoser3.rp obermoser4.rp karlovich2.rp",0,0,0,5,0,0,0,2,2
"3104","QKI",14,"meaburn1.sd meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp dusek.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp dusek.rp rusch.rp karlovich1.rp karlovich2.rp",0,6,1,0,2,2,0,3,5
"3105","TFEB",3,"obermoser3.vp dusek.vp obermoser3.rp",0,0,0,2,1,0,0,0,2
"3106","CCND3",1,"gomez.vp",1,0,0,0,0,0,0,0,1
"3107","BYSL",0,"",0,0,0,0,0,0,0,0,0
"3108","FAM120B",3,"obermoser1.vp obermoser2.vp obermoser3.vp",0,0,0,3,0,0,0,0,1
"3109","TBP",0,"",0,0,0,0,0,0,0,0,0
"3110","PRPH2",0,"",0,0,0,0,0,0,0,0,0
"3111","GLTSCR1L",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3112","PPP2R5D",2,"meaburn1.vp obermoser3.rp",0,1,0,1,0,0,0,0,2
"3113","PTK7",2,"gosch.rp larocca.rp",0,0,1,0,0,0,1,0,2
"3114","SRF",1,"gomez.vp",1,0,0,0,0,0,0,0,1
"3115","CUL9",0,"",0,0,0,0,0,0,0,0,0
"3116","DNPH1",6,"meaburn2.vp obermoser3.vp obermoser4.vp obermoser1.rp obermoser3.rp obermoser4.rp",0,1,0,5,0,0,0,0,2
"3117","DUSP22",11,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp karlovich1.vp karlovich2.vp obermoser2.rp obermoser3.rp obermoser4.rp karlovich1.rp",0,0,0,7,0,0,1,3,3
"3118","EXOC2",6,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp meaburn2.rp obermoser1.rp",0,2,0,4,0,0,0,0,2
"3119","COX7A2",1,"obermoser3.rp",0,0,0,1,0,0,0,0,1
"3120","TMEM30A",5,"gosch.vp meaburn1.vp meaburn2.vp meaburn1.rp meaburn2.rp",0,4,1,0,0,0,0,0,2
"3121","GMDS",0,"",0,0,0,0,0,0,0,0,0
"3122","SENP6",4,"meaburn2.vp meaburn1.rp meaburn2.rp karlovich2.rp",0,3,0,0,0,0,0,1,2
"3123","VEGFA",1,"meaburn2.rp",0,1,0,0,0,0,0,0,1
"3124","PRPF4B",0,"",0,0,0,0,0,0,0,0,0
"3125","SLC29A1",19,"meaburn1.sd meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",2,6,2,8,0,0,1,0,5
"3126","BTN2A1",5,"gomez.vp obermoser1.vp meaburn1.rp meaburn2.rp obermoser3.rp",1,2,0,2,0,0,0,0,3
"3127","FAM46A",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3128","CLIC5",2,"gomez.vp gomez.rp",2,0,0,0,0,0,0,0,1
"3129","FBRSL1",1,"dusek.vp",0,0,0,0,1,0,0,0,1
"3130","ENPP5",4,"gosch.rp meaburn1.rp rusch.rp larocca.rp",0,1,1,0,0,1,1,0,4
"3131","LY86",18,"meaburn1.sd meaburn2.sd gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp karlovich1.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp karlovich1.rp karlovich2.rp",0,5,1,8,0,0,0,4,4
"3132","PRSS16",1,"gomez.vp",1,0,0,0,0,0,0,0,1
"3133","ERBIN",4,"meaburn2.vp meaburn2.rp obermoser4.rp karlovich1.rp",0,2,0,1,0,0,0,1,3
"3134","HARS2",0,"",0,0,0,0,0,0,0,0,0
"3135","NUDT12",3,"gosch.vp gomez.rp gosch.rp",1,0,2,0,0,0,0,0,2
"3136","CEP72",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3137","MAN2A1",7,"dusek.vp karlovich1.vp meaburn1.rp obermoser3.rp rusch.rp karlovich1.rp karlovich2.rp",0,1,0,1,1,1,0,3,5
"3138","PAPD7",0,"",0,0,0,0,0,0,0,0,0
"3139","HMGCS1",0,"",0,0,0,0,0,0,0,0,0
"3140","DAP",10,"obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp karlovich1.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",0,0,0,7,0,1,1,1,4
"3141","BRD8",2,"meaburn2.vp rusch.rp",0,1,0,0,0,1,0,0,2
"3142","NNT",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3143","MRPS30",6,"meaburn1.vp meaburn2.vp obermoser1.vp meaburn1.rp meaburn2.rp rusch.rp",0,4,0,1,0,1,0,0,3
"3144","HSPA9",1,"rusch.rp",0,0,0,0,0,1,0,0,1
"3145","MRPS27",5,"gosch.vp obermoser1.vp obermoser3.vp obermoser3.rp karlovich2.rp",0,0,1,3,0,0,0,1,3
"3146","PFDN1",2,"meaburn2.vp dusek.vp",0,1,0,0,1,0,0,0,2
"3147","HBEGF",0,"",0,0,0,0,0,0,0,0,0
"3148","GZMK",19,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp larocca.rp karlovich1.rp karlovich2.rp",2,4,1,6,2,0,2,2,7
"3149","APBB3",2,"gosch.vp obermoser1.vp",0,0,1,1,0,0,0,0,2
"3150","TMCO6",1,"dusek.vp",0,0,0,0,1,0,0,0,1
"3151","SPARC",20,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp karlovich1.rp karlovich2.rp",2,1,1,8,2,2,0,4,7
"3152","IK",5,"obermoser1.vp obermoser4.vp dusek.vp karlovich1.vp karlovich2.vp",0,0,0,2,1,0,0,2,3
"3153","HMGCR",5,"gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp rusch.rp",0,1,1,2,0,1,0,0,4
"3154","COL4A3BP",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3155","FAF2",1,"gomez.vp",1,0,0,0,0,0,0,0,1
"3156","CLK4",4,"meaburn1.vp obermoser1.vp meaburn1.rp meaburn2.rp",0,3,0,1,0,0,0,0,2
"3157","HAVCR1",0,"",0,0,0,0,0,0,0,0,0
"3158","ITK",7,"gosch.vp karlovich2.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp karlovich2.rp",0,0,1,4,0,0,0,2,3
"3159","RNF130",10,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp dusek.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp karlovich1.rp",0,5,1,0,1,1,0,2,5
"3160","THG1L",2,"obermoser2.rp obermoser3.rp",0,0,0,2,0,0,0,0,1
"3161","ARSB",4,"gosch.vp karlovich1.vp obermoser2.rp rusch.rp",0,0,1,1,0,1,0,1,4
"3162","CLINT1",4,"gomez.vp gosch.vp meaburn1.vp meaburn1.rp",1,2,1,0,0,0,0,0,3
"3163","THBS4",2,"gomez.vp gosch.vp",1,0,1,0,0,0,0,0,2
"3164","CNOT6",3,"gosch.vp larocca.vp meaburn2.rp",0,1,1,0,0,0,1,0,3
"3165","BTNL8",17,"meaburn1.vp meaburn2.vp obermoser2.vp dusek.vp rusch.vp karlovich1.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp larocca.rp karlovich1.rp",1,4,1,4,2,2,1,2,8
"3166","TTC1",2,"meaburn1.vp obermoser1.vp",0,1,0,1,0,0,0,0,2
"3167","MSH3",13,"obermoser2.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp",0,3,0,9,0,0,1,0,3
"3168","RASGRF2",8,"gomez.vp gosch.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp rusch.rp karlovich2.rp",1,2,1,0,0,2,0,2,5
"3169","CCNG1",2,"meaburn1.rp dusek.rp",0,1,0,0,1,0,0,0,2
"3170","POLR3G",0,"",0,0,0,0,0,0,0,0,0
"3171","DROSHA",4,"gosch.vp karlovich2.vp rusch.rp karlovich2.rp",0,0,1,0,0,1,0,2,3
"3172","LMNB1",15,"obermoser1.vp obermoser2.vp obermoser3.vp rusch.vp larocca.vp karlovich1.vp karlovich2.vp gomez.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp karlovich2.rp",1,1,0,6,1,2,1,3,7
"3173","ARRDC3",3,"obermoser3.vp obermoser3.rp obermoser4.rp",0,0,0,3,0,0,0,0,1
"3174","GOLPH3",0,"",0,0,0,0,0,0,0,0,0
"3175","SUB1",4,"gosch.vp karlovich2.vp meaburn1.rp karlovich2.rp",0,1,1,0,0,0,0,2,3
"3176","FAM172A",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"3177","TARS",0,"",0,0,0,0,0,0,0,0,0
"3178","LNPEP",7,"meaburn2.vp obermoser2.vp meaburn2.rp obermoser2.rp rusch.rp larocca.rp karlovich1.rp",0,2,0,2,0,1,1,1,5
"3179","PDE4D",0,"",0,0,0,0,0,0,0,0,0
"3180","RAD1",2,"meaburn1.rp rusch.rp",0,1,0,0,0,1,0,0,2
"3181","BRIX1",3,"obermoser2.vp obermoser3.vp obermoser1.rp",0,0,0,3,0,0,0,0,1
"3182","SLC12A7",14,"gomez.vp gosch.vp meaburn1.vp dusek.vp larocca.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp larocca.rp karlovich1.rp karlovich2.rp",2,3,2,0,1,0,2,4,6
"3183","RAD50",6,"meaburn2.vp obermoser1.vp obermoser3.vp dusek.vp larocca.vp obermoser3.rp",0,1,0,3,1,0,1,0,4
"3184","ST8SIA4",16,"meaburn1.sd meaburn2.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp karlovich1.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp larocca.rp karlovich1.rp",0,6,0,6,0,0,1,3,4
"3185","GNPDA1",1,"obermoser1.rp",0,0,0,1,0,0,0,0,1
"3186","PCDH12",0,"",0,0,0,0,0,0,0,0,0
"3187","SKP1",6,"gosch.vp obermoser2.vp larocca.vp dusek.rp karlovich1.rp karlovich2.rp",0,0,1,1,1,0,1,2,5
"3188","NUP155",2,"meaburn2.vp rusch.rp",0,1,0,0,0,1,0,0,2
"3189","PPP2CA",3,"dusek.vp dusek.rp rusch.rp",0,0,0,0,2,1,0,0,2
"3190","NR3C1",4,"meaburn2.vp rusch.vp meaburn2.rp rusch.rp",0,2,0,0,0,2,0,0,2
"3191","C5orf15",1,"karlovich1.rp",0,0,0,0,0,0,0,1,1
"3192","PPWD1",6,"meaburn2.vp obermoser1.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp",0,3,0,2,0,0,1,0,3
"3193","TRIM23",4,"gosch.vp obermoser2.vp meaburn2.rp obermoser2.rp",0,1,1,2,0,0,0,0,3
"3194","TRAPPC13",3,"obermoser2.vp meaburn1.rp obermoser2.rp",0,1,0,2,0,0,0,0,2
"3195","SEC24A",9,"gosch.vp obermoser3.vp dusek.vp rusch.vp karlovich2.vp meaburn1.rp rusch.rp larocca.rp karlovich2.rp",0,1,1,1,1,2,1,2,7
"3196","TXNDC15",3,"gosch.vp karlovich2.vp karlovich2.rp",0,0,1,0,0,0,0,2,2
"3197","TTC33",1,"meaburn1.rp",0,1,0,0,0,0,0,0,1
"3198","RARS",2,"gosch.vp gosch.rp",0,0,2,0,0,0,0,0,1
"3199","H2AFY",3,"gomez.vp gosch.vp larocca.vp",1,0,1,0,0,0,1,0,3
"3200","TCERG1",1,"obermoser2.vp",0,0,0,1,0,0,0,0,1
"3201","SMAD5",13,"meaburn2.vp obermoser1.vp dusek.vp rusch.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp karlovich1.rp karlovich2.rp",0,3,0,3,2,2,0,3,5
"3202","CSNK1A1",7,"meaburn2.vp dusek.vp karlovich1.vp meaburn1.rp meaburn2.rp dusek.rp rusch.rp",0,3,0,0,2,1,0,1,4
"3203","HMGXB3",3,"meaburn1.vp obermoser3.vp obermoser3.rp",0,1,0,2,0,0,0,0,2
"3204","ERGIC1",6,"obermoser4.vp dusek.vp rusch.vp meaburn2.rp obermoser3.rp obermoser4.rp",0,1,0,3,1,1,0,0,4
"3205","PDGFRB",8,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gosch.rp obermoser1.rp obermoser4.rp larocca.rp",0,0,1,6,0,0,1,0,3
"3206","ATP6V0E1",9,"obermoser3.vp obermoser4.vp dusek.vp rusch.vp karlovich1.vp obermoser3.rp dusek.rp rusch.rp karlovich1.rp",0,0,0,3,2,2,0,2,4
"3207","BNIP1",0,"",0,0,0,0,0,0,0,0,0
"3208","CPEB4",17,"gosch.vp meaburn1.vp meaburn2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp karlovich1.rp",0,4,1,6,2,1,2,1,7
"3209","HRH2",13,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp rusch.vp larocca.vp karlovich1.vp karlovich2.vp gomez.rp meaburn1.rp meaburn2.rp karlovich1.rp karlovich2.rp",1,5,1,0,0,1,1,4,6
