"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"39","POLDIP2",2,"gosch.vp karlovich2.vp",0,0,1,0,0,0,0,1,2
"40","PLXND1",2,"gosch.vp meaburn1.rp",0,1,1,0,0,0,0,0,2
"41","AK2",10,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp karlovich2.vp dusek.rp karlovich2.rp",0,0,1,4,2,1,0,2,5
"42","CD38",7,"meaburn2.sd gosch.vp meaburn1.vp gomez.rp meaburn1.rp meaburn2.rp larocca.rp",1,4,1,0,0,0,1,0,4
"43","FKBP4",1,"meaburn1.vp",0,1,0,0,0,0,0,0,1
"44","KDM1A",0,"",0,0,0,0,0,0,0,0,0
"45","RBM6",13,"gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp karlovich1.vp karlovich2.vp meaburn1.rp meaburn2.rp obermoser2.rp obermoser4.rp karlovich1.rp",0,2,1,6,0,0,1,3,5
"46","CAMKK1",1,"larocca.vp",0,0,0,0,0,0,1,0,1
"47","RECQL",2,"karlovich1.vp meaburn2.rp",0,1,0,0,0,0,0,1,2
"48","VPS50",2,"gomez.vp obermoser1.rp",1,0,0,1,0,0,0,0,2
"49","ARHGAP33",0,"",0,0,0,0,0,0,0,0,0
"50","NDUFAB1",2,"obermoser3.vp meaburn1.rp",0,1,0,1,0,0,0,0,2
"51","PDK4",2,"obermoser2.vp rusch.vp",0,0,0,1,0,1,0,0,2
"52","SLC22A16",12,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",0,3,2,6,0,0,1,0,4
"53","ZMYND10",0,"",0,0,0,0,0,0,0,0,0
"54","SLC25A13",1,"rusch.rp",0,0,0,0,0,1,0,0,1
"55","ST7",7,"gomez.vp obermoser1.vp obermoser2.vp gomez.rp obermoser1.rp obermoser2.rp obermoser3.rp",2,0,0,5,0,0,0,0,2
"56","CDC27",3,"gosch.vp gosch.rp rusch.rp",0,0,2,0,0,1,0,0,2
"57","SLC4A1",19,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp larocca.rp karlovich1.rp karlovich2.rp",2,0,2,6,2,1,2,4,7
"58","HCCS",3,"larocca.vp karlovich1.vp rusch.rp",0,0,0,0,0,1,1,1,3
"59","DVL2",1,"obermoser1.vp",0,0,0,1,0,0,0,0,1
"60","UPF1",2,"meaburn1.vp meaburn1.rp",0,2,0,0,0,0,0,0,1
"61","SKAP2",25,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp karlovich1.vp karlovich2.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp karlovich1.rp karlovich2.rp",1,5,2,8,2,2,1,4,8
"62","SLC25A5",6,"gosch.vp obermoser3.vp obermoser4.vp larocca.vp obermoser1.rp karlovich1.rp",0,0,1,3,0,0,1,1,4
