"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"4532","CYP24A1",0.02,0.01,65.08,4.69,98.91,4.48,4.27,0.02,0,0
"6506","FMN2",0.06,0.03,67.52,4.71,3.85,5.3,5.31,0.25,0,0
"19004","RSU1P2",0.08,0.01,96.96,1.18,3.92,4.52,4.33,5.42,0.01,0.01
"15872","PLPPR4",0.01,0,45.87,35.37,19.43,28.4,5.27,1.12,0.01,0.01
"16654","PTPRZ1",1.08,0.1,94.51,1.31,19.43,0.14,0.14,3.54,0.02,0.02
"16965","RASSF9",0.1,0.07,71.73,25.18,19.43,18.69,5.37,0.15,0.02,0.02
"10609","LOC101927636",0.14,0.08,80.64,11.88,23.33,6.28,4.57,0.5,0.02,0.02
"15002","OSMR",0.47,0.13,85.03,1.31,19.43,0.14,0.14,15.97,0.03,0.03
"4025","CPXCR1",0.12,0.09,75.59,13.99,69.46,6.61,2.26,1.14,0.03,0.03
"9773","LINC00317",0,0,31.46,60.91,19.43,63.04,5.95,16.65,0.04,0.04
"23018","UGT2A1",0.84,0.11,93.28,1.31,97.42,0.14,0.14,18.14,0.04,0.04
"10799","LOC101928633",83.49,97.34,0.24,0.5,43.69,10.25,9.56,0.69,0.04,0.04
"20867","ST6GAL2",17.39,4.04,97.45,1.18,3.92,0.19,0.19,1.27,0.05,0.05
"6597","FREM1",0.53,0.21,81.68,5.06,78.67,5.02,4.4,1.91,0.05,0.05
"20065","SLCO2B1",13.02,1.47,99.28,1.04,18.68,0.05,0.05,8.94,0.06,0.06
"11660","LRIG2-DT",0.08,0.05,62.3,34.71,60.9,33.06,12.93,0.84,0.06,0.06
"6862","GDA",0.15,0.06,74.47,4.71,3.85,17.18,15.02,7.95,0.07,0.07
"11379","LOC105377134",0.15,0.18,50.24,12.26,14.89,5.28,4.23,16.3,0.07,0.07
"22493","TRIM63",25.78,3.1,99.33,1.04,18.68,0.05,0.05,5.51,0.07,0.07
"13578","MRGPRX1",2.04,0.89,78.12,1.31,19.43,0.14,0.14,24.91,0.08,0.08
"6054","FAM217A",0.2,0.07,88.88,15.68,17.46,8.29,5.29,6.15,0.08,0.08
"23715","ZBED3-AS1",18.3,2.52,99.18,1.59,3.67,0.22,0.22,2.83,0.09,0.09
"10072","LINC02493",4.46,1.36,85.78,1.31,19.43,0.14,0.14,13.47,0.09,0.09
"6184","FAM9A",0.02,0.05,24.2,62.72,19.43,63.93,7.47,6.07,0.09,0.09
"14163","NCRNA00185",88.44,97.18,0.72,1.37,43.69,10.25,9.56,0.28,0.1,0.1
"2037","BRINP1",12.32,1.04,95.16,1.31,19.43,0.14,0.14,8.86,0.1,0.1
"5172","DSC3",0.48,0.17,83.72,9.68,21.56,5.01,4.38,8.47,0.11,0.11
"20611","SPATA22",0.61,0.33,71.17,27.15,19.43,22.21,6.5,0.54,0.11,0.11
"10581","LOC101927468",0.07,0.18,50.8,60.73,3.92,46.73,14.24,1.12,0.11,0.11
"19238","SCN11A",0.41,0.29,69.37,40.17,78.48,36.83,15.94,0.18,0.12,0.12
"2840","CCDC148",0.87,0.3,78.73,9.64,19.43,4.52,4.35,6.86,0.12,0.12
"6627","FRZB",7.72,0.43,99.54,1.57,20.33,0.26,0.26,7.57,0.13,0.13
"3798","CNN3-DT",2.42,0.48,97.31,1.18,3.92,4.46,4.36,12.57,0.13,0.13
"23246","VGLL2",40.2,15.24,98.57,1.04,18.68,0.05,0.05,4.37,0.13,0.13
"7270","GPRC5D-AS1",26.23,3.19,95.43,1.31,19.43,0.14,0.14,4.7,0.14,0.14
"9788","LINC00442",36.75,11.14,99.01,1.04,18.68,0.05,0.05,6.31,0.14,0.14
"5627","EP300-AS1",70.94,1.4,99.99,10.65,30.66,6.11,6.04,0.05,0.15,0.15
"1960","BMP4",4.73,12.32,47.53,8.58,22.42,5.73,5.72,0.38,0.15,0.15
"16626","PTPN3",40.74,13.53,98.99,1.04,18.68,0.05,0.05,6.14,0.15,0.15
"13386","MLT1C.ERVL.MaLR.LTR",0.74,0.11,91.93,2.78,1.82,3.23,3.24,93.1,0.16,0.16
"10028","LINC01635",13.85,1.69,94.88,1.31,19.43,0.14,0.14,13.72,0.16,0.16
"8967","KCTD14",1.25,0.44,81.09,11.92,19.43,5.25,4.46,3.61,0.17,0.17
"6218","FAT3",2.97,3.64,45.15,8.99,19.43,4.52,4.52,1.76,0.17,0.17
"2862","CCDC181",0.53,0.76,44.93,25.3,19.43,29.81,7.68,0.65,0.18,0.18
"22803","TXLNG2P",54.87,97.43,0,1.35,43.69,29.41,33.77,30.49,0.18,0.18
"11129","LOC102723889",68.15,97.38,0.06,0.5,43.69,54.32,70,1.56,0.18,0.18
"20879","ST8SIA3",28.53,5.59,99.23,1.04,18.68,0.05,0.05,17.45,0.19,0.19
"20147","SMEK2",0.04,0.04,51.61,8.19,43.69,10.25,9.56,92.84,0.19,0.19
"8252","ID4",16.32,0.54,99.68,4.66,56.63,4.24,4.28,1.59,0.2,0.2
"2523","C9orf152",0.35,0.53,71.75,12.19,99.38,14.62,6.48,1.36,0.2,0.2
"19890","SLC30A8",1.93,0.57,96.89,9.53,94.19,0.19,0.19,16.03,0.2,0.2
"2350","C1QTNF7",0.78,0.32,56.67,20.78,88.01,20.23,14.06,0.7,0.21,0.21
"8831","JPH1",26.69,2.72,99.54,1.59,3.67,0.22,0.22,8.21,0.21,0.21
"20954","STK32A",10.12,1.63,93.68,1.31,19.43,0.14,0.14,25.69,0.22,0.22
"6999","GLRA1",27.7,6.93,97.59,1.18,3.92,0.19,0.19,7.54,0.22,0.22
"17336","RNF113B",21.48,3.38,99.23,1.65,18.68,0.05,0.05,14.27,0.22,0.22
"6583","FOXR2",1.99,0.76,85.76,12.64,82.93,12.16,5.41,0.94,0.23,0.23
"8668","IQCH",0.63,0.63,74.02,13.98,28.55,18.79,6.37,1.63,0.23,0.23
"13980","MYOZ1",0.65,9.4,22.46,16.92,22.42,5.73,5.72,1.55,0.24,0.24
"13319","MIR937",93.05,84.56,89.3,2.78,1.82,3.23,3.24,0.18,0.24,0.24
"7276","GPS2P1",71.35,94.05,0.13,96.89,10.95,97.22,95.2,0,0.24,0.24
"11120","LOC102723847",7.96,13.27,24.6,1.31,19.43,0.14,0.14,29.37,0.25,0.25
"22713","TTC6",27.04,0.59,99.69,5.02,3.67,0.22,0.22,13.17,0.25,0.25
"19450","SERINC4",2.93,0.22,93.83,2.78,1.82,3.23,3.24,61.77,0.26,0.26
"6557","FOXF2",13.72,2.31,93.98,1.31,98.04,0.14,0.14,10.65,0.26,0.26
"24067","ZNF300P1",12.66,2.36,98.51,9.97,18.68,0.05,0.05,13.01,0.26,0.26
"6148","FAM83A-AS1",39.81,11.98,99.1,1.04,18.68,0.05,0.05,16.21,0.27,0.27
"819","ALDH3B2",45.89,15.87,99.07,1.04,18.68,0.05,0.05,12.13,0.27,0.27
"20680","SPINK1",33.63,2.68,98.42,3.71,7,0.21,0.21,8.12,0.28,0.28
"9933","LINC01114",26.04,10.98,97.18,1.04,18.68,0.05,0.05,27.5,0.28,0.28
"3240","CDX2",11.07,16.22,60.11,8.58,22.42,5.73,5.72,0.43,0.29,0.29
"4135","CSN2",0.13,0.13,57.85,24.75,6.96,26.05,7.22,14.94,0.29,0.29
"21681","TJP1",2.17,0.79,92.69,11.68,21.31,13.25,7.39,1.3,0.29,0.29
"9082","KIAA1549L",12.96,1.81,94.56,4.55,98.19,0.14,0.14,7.47,0.3,0.3
"15084","PABPC1L2B",1.01,0.12,91.53,11.38,15.9,6.17,5.28,24.54,0.3,0.3
"24186","ZNF492",3.24,2.24,65.67,19.99,68.25,18.3,13.05,0.26,0.31,0.31
"3423","CGA",58.13,30.84,98.18,1.04,97.4,0.05,0.05,4.05,0.31,0.31
"1321","ARHGEF26",0.49,0.56,62.34,53.24,48.59,44.92,19.61,0.35,0.31,0.31
"17074","REC114",26.98,7.5,97.45,1.18,3.92,0.19,0.19,15.79,0.32,0.32
"16063","POU4F1",0.18,0.2,71.81,46.72,3.92,33.99,12.95,3.76,0.32,0.32
"9388","L1M4.L1.LINE",1.5,0.29,89.76,2.78,1.82,3.23,3.24,92.66,0.33,0.33
"20655","SPECC1L.ADORA2A",0.79,0.27,82.77,10.1,1.82,3.23,3.24,78.35,0.33,0.33
"11374","LOC105375483",0.37,0.2,78.17,25.82,92.8,23.67,13.48,1.61,0.33,0.33
"14613","NRSN2-AS1",12.61,1.52,99.14,10.36,3.67,7.17,6.3,1.05,0.34,0.34
"5656","EPHA7",1.23,1.08,59.51,44.14,19.43,35.69,12.41,0.38,0.34,0.34
"12312","MARCH6",0,0.06,6.94,85.09,10.95,91.29,16.96,86.78,0.35,0.35
"14916","OR51F1",8.81,36.44,19.58,8.58,22.42,5.73,5.72,0.83,0.35,0.35
"18628","RP4-751H13.5",92.8,89.33,66.84,6.5,10.95,1.21,1.21,0.21,0.35,0.35
"17216","RHPN1-AS1",1.97,0.18,98.86,8.58,22.42,5.73,5.72,13.07,0.36,0.36
"14018","NAALADL2",19.42,11.79,89.94,8.58,22.42,5.73,5.72,0.4,0.36,0.36
"8547","IL6ST-DT",2.82,0.62,93.89,4.37,14.89,2.24,2.14,40.09,0.37,0.37
"21093","SVA_A.SVA.Retroposon",2.98,0.28,93.45,2.78,1.82,3.23,3.24,82.08,0.37,0.37
"2432","C3orf70",57.52,21.43,99.28,1.04,18.68,0.05,0.05,14.57,0.37,0.37
"12099","LYZL1",2.66,0.26,99.58,7.98,28.19,4.89,4.91,12.49,0.38,0.38
"711","AGTR1",1.5,0.32,92.88,11.97,6.96,6.37,4.71,14.44,0.38,0.38
"21398","TCP11",5.46,0.83,92.88,4.68,98.18,0.14,0.14,29.11,0.39,0.39
"19897","SLC34A3",0.01,0.02,22.77,65.37,3.85,55.95,20.61,90.03,0.39,0.39
"16350","PROKR1",6.62,1.56,98.17,15.58,91.76,14.14,7.5,0.31,0.4,0.4
"21302","TBC1D3",76.05,96.82,0.39,97.51,43.69,73.89,85.43,0,0.4,0.4
"9907","LINC00993",45.48,14.71,97.66,1.18,3.92,0.19,0.19,10.08,0.4,0.4
"13380","MLT1A0.ERVL.MaLR.LTR",2.34,0.35,91.04,2.78,1.82,3.23,3.24,91.54,0.41,0.41
"9418","L1MC1.L1.LINE",2.24,0.36,90.41,2.78,1.82,3.23,3.24,92.09,0.41,0.41
"19695","SIX3",1.49,0.13,99,27.29,22.42,5.73,5.72,7.42,0.42,0.42
"9801","LINC00518",52.53,25.87,98.33,1.04,18.68,0.05,0.05,18.75,0.42,0.42
"7394","GTF2A1L",13.72,2.32,98.81,1.04,18.68,5.4,4.39,10.99,0.42,0.42
"6619","FRMPD4",7.9,6.63,80.67,8.58,22.42,5.73,5.72,1.25,0.43,0.43
"15606","PHYHIPL",2.68,0.61,97.28,4.12,7.03,4.26,4.29,35.02,0.43,0.43
"21372","TCF12-DT",0.59,0.49,51.34,34.72,15.49,22.6,14.61,2.37,0.44,0.44
"19033","RTP1",38.58,12.5,98.96,1.04,99.76,0.05,0.05,13.21,0.44,0.44
"2869","CCDC197",7.9,0.74,98.16,4.93,20.68,2.24,2.24,18.23,0.44,0.44
"17085","REG3A",5.58,2.95,93.76,10.92,3.83,5.35,4.37,4.49,0.45,0.45
"23851","ZFAT.AS1",68.38,48.29,91.44,2.78,1.82,3.23,3.24,1.12,0.45,0.45
"21616","Tigger13a.TcMar.Tigger.DNA",3.69,0.5,92.23,2.78,1.82,3.23,3.24,82.07,0.46,0.46
"786","AKR1D1",0.29,0.15,61.32,16.21,93.33,18.66,13.2,13.05,0.46,0.46
"14848","OPCML",3.4,0.82,99.03,4.85,33.91,4.41,4.48,12.96,0.46,0.46
"13787","MTCL1",2.86,0.33,96.6,10.3,59.46,4.49,4.25,20.08,0.47,0.47
"12645","MER5A1.hAT.Charlie.DNA",2.52,0.69,87.17,2.78,1.82,3.23,3.24,91.47,0.47,0.47
"13384","MLT1B.ERVL.MaLR.LTR",2.75,0.6,88.95,2.78,1.82,3.23,3.24,92.31,0.48,0.48
"12027","LTR87.ERVL.LTR",48.45,83.76,0.69,2.78,1.82,3.23,3.24,66.34,0.48,0.48
"12575","MER39.ERV1.LTR",5.23,0.61,93.33,2.78,1.82,3.23,3.24,77.21,0.48,0.48
"4520","CYMP",5.25,0.19,99.71,23.84,22.42,5.73,5.72,4.04,0.49,0.49
"14528","NPFFR2",63.55,26.66,99.22,1.04,96.75,0.05,0.05,9.88,0.49,0.49
"23889","ZFYVE20",0.27,0.04,81.94,9.9,43.69,10.25,9.56,80.9,0.5,0.5
"9417","L1MC.L1.LINE",3.3,0.75,89.82,2.78,1.82,3.23,3.24,85.93,0.5,0.5
"20590","SPAG11B",22.95,4.3,97.82,1.77,3.84,0.25,0.25,18.45,0.51,0.51
"22687","TTC23L",11.86,4.1,94.47,19.48,18.68,0.05,0.05,20.76,0.51,0.51
"17242","RIMS2",20.17,4.89,94.98,4.57,6.96,4.56,4.46,3.27,0.51,0.51
"588","ADH7",4.74,1.05,89.12,1.31,98.98,4.44,4.32,19.6,0.52,0.52
"15413","PDPN",30.11,8.52,98.77,9.34,18.68,0.05,0.05,14.36,0.52,0.52
"21560","THE1D.int.ERVL.MaLR.LTR",4.22,0.85,90.91,2.78,1.82,3.23,3.24,78.66,0.53,0.53
"14871","OR1L4",1.92,1.55,81.58,29.42,22.42,5.73,5.72,3.01,0.53,0.53
"13403","MLT1F2.ERVL.MaLR.LTR",3.6,0.73,90.62,2.78,1.82,3.23,3.24,87.86,0.53,0.53
"9415","L1MB7.L1.LINE",2.97,0.77,88.28,2.78,1.82,3.23,3.24,93.67,0.54,0.54
"13973","MYOC",8.16,0.27,99.75,8.58,22.42,5.73,5.72,9,0.54,0.54
"938","AMELX",1.3,0.64,78.58,18.25,17.07,14.25,5.95,6.87,0.55,0.55
"13391","MLT1E1.ERVL.MaLR.LTR",6.49,1.27,92.19,2.78,1.82,3.23,3.24,62.45,0.55,0.55
"19163","SAXO2",0.05,99.75,0.2,99.94,22.42,99.91,99.87,0.49,0.55,0.55
"19302","SDIM1",2.77,0.12,99.67,8.58,22.42,19.13,16.82,7.08,0.56,0.56
"1053","ANKRD45",6.52,7.48,72.02,27.8,22.42,5.73,5.72,0.8,0.56,0.56
"3169","CDH13",94.39,87.13,90.64,2.78,1.82,3.23,3.24,0.74,0.57,0.57
"14416","NLGN4Y",80.37,97.2,0.29,1.62,43.69,84.38,90.95,0.34,0.57,0.57
"8","A2ML1",0.09,0.1,56.93,71.07,19.43,70.78,12.07,10.58,0.57,0.57
"6352","FFAR1",17.33,4.58,97.87,18.33,18.68,0.05,0.05,17.72,0.58,0.58
"4555","CYP3A5",0.92,1.03,57.21,37.56,59.87,43.45,15.86,0.77,0.58,0.58
"13419","MLT1J.ERVL.MaLR.LTR",5.16,0.54,93.51,2.78,1.82,3.23,3.24,91.76,0.59,0.59
"13747","MSTD.int.ERVL.MaLR.LTR",6.9,1.28,92.42,2.78,1.82,3.23,3.24,64.37,0.59,0.59
"2293","C1orf105",77.04,94.68,0.07,97.5,1.82,97.46,95.66,0.11,0.59,0.59
"9328","KRT77",96.89,97.1,4,92.11,43.69,10.25,9.56,0.02,0.6,0.6
"14936","OR56B4",8.87,1.03,99.21,1.93,96.33,2.21,2.21,17.62,0.6,0.6
"7393","GTF2A1-AS1",1.85,1.02,82.63,26.52,6.96,19.73,13.22,1.69,0.61,0.61
"15323","PCNXL3",0.54,0.04,90.32,8.3,4.8,13.32,7.57,91.04,0.61,0.61
"4342","CTD-2517O10.6",94.86,90.17,88.97,6.5,10.95,1.21,1.21,0.42,0.61,0.61
"9326","KRT74",23.44,2.93,95.23,1.31,19.43,0.14,0.14,56.7,0.62,0.62
"10358","LOC100506207",26.58,5.87,97.67,4.06,3.92,0.19,0.19,27.64,0.62,0.62
"20911","STARD4-AS1",94.64,87.46,92.03,6.5,10.95,1.21,1.21,0.45,0.63,0.63
"12144","MAGEB2",4.37,2.51,66.15,9.22,7.07,7.85,6.32,7.2,0.63,0.63
"3172","CDH20",12.3,2.49,99.23,1.46,24.54,4.24,4.23,20.2,0.64,0.64
"12923","MIR1237",67.49,73.06,15.28,2.78,1.82,3.23,3.24,6.43,0.64,0.64
"12803","MFSD14C",7,0.41,86.31,6.5,10.95,1.21,1.21,73.72,0.64,0.64
"14911","OR4M2-OT1",17.6,6.99,90.9,3.68,3.96,4.44,4.35,9.31,0.65,0.65
"15750","PLA2G12B",6.56,0.97,98.48,11.53,18.68,4.29,2.26,17.02,0.65,0.65
"16303","PRKAR2A-AS1",89.04,90.4,24.22,6.5,10.95,1.21,1.21,1.39,0.66,0.66
"12834","MGC57346.CRHR1",88.51,79.63,84.29,2.78,1.82,3.23,3.24,1.31,0.66,0.66
"10062","LINC02350",2.75,0.46,96.99,13.82,23.52,12.48,6.52,7.6,0.66,0.66
"23229","VCX3A",6.54,5.43,77.62,9.75,91.78,13.77,7.29,1.05,0.67,0.67
"15086","PABPC1P2",95.28,90.23,89.8,2.78,1.82,3.23,3.24,1.06,0.67,0.67
"19431","SEPTIN7P13",22.5,4.4,97.56,9.16,79.77,7.07,5.97,0.97,0.68,0.68
"9761","LINC00278",58.69,97.43,0.01,1.36,43.69,86.34,84.94,16.08,0.68,0.68
"9814","LINC00582",36.4,12.66,97.34,1.18,3.92,0.19,0.19,38.21,0.68,0.68
"10243","LOC100132077",1.12,53.03,1.55,11.62,3.67,64.88,21.94,5.45,0.69,0.69
"10596","LOC101927572",85.35,79.1,74.22,2.78,1.82,3.23,3.24,1.69,0.69,0.69
"11475","LOC400655",81.38,96.86,0.62,90.23,43.69,69.74,85.14,0.01,0.7,0.7
"6588","FPGT.TNNI3K",72.87,63.41,78.97,2.78,1.82,3.23,3.24,2.25,0.7,0.7
"10526","LOC101927100",80.17,80.87,29.69,2.78,1.82,3.23,3.24,3.56,0.7,0.7
"3166","CDH10",11.65,1.34,98.26,10.06,15.12,13.37,12.18,2.23,0.71,0.71
"21622","Tigger17a.TcMar.Tigger.DNA",4.95,2.01,84.75,2.78,1.82,3.23,3.24,83.11,0.71,0.71
"6007","FAM182B",92.48,91.17,42.51,6.5,10.95,1.21,1.21,1.11,0.72,0.72
"18679","RP5-855D21.2",91.13,85.56,78.39,6.5,10.95,1.21,1.21,0.78,0.72,0.72
"14048","NANOS3",2.09,0.23,99.13,11.96,91.94,4.89,4.91,23.81,0.72,0.72
"9852","LINC00698",27.09,5.28,97.78,1.18,99.02,0.19,0.19,27.1,0.73,0.73
"11484","LOC401312",3.2,0.99,87.33,5.04,7.09,5.52,7,22.69,0.73,0.73
"16277","PRICKLE2-AS3",1.79,1.74,72.61,14.03,34.65,13,6.33,7.1,0.74,0.74
"11343","LOC103021295",13.69,10.41,71.87,2.78,1.82,3.23,3.24,36.27,0.74,0.74
"4811","DGCR5",95.26,90.94,87.44,9.66,1.82,3.23,3.24,0.64,0.75,0.75
"1871","BDNF-AS",19.53,7.84,89.29,9.26,15.62,4.48,4.28,4.34,0.75,0.75
"3876","COL4A5",2.64,19.31,23.63,8.58,99.03,5.73,5.72,4.23,0.75,0.75
"22980","UCON28a.UCON28a.Unknown",95.61,88.38,94.2,2.78,92.1,3.23,3.24,0.37,0.76,0.76
"18430","RP11-981G7.6",94.8,90.19,87.41,6.5,10.95,1.21,1.21,0.68,0.76,0.76
"23572","X8_LINE.CR1.LINE",93.76,87.25,86.82,2.78,1.82,3.23,3.24,1.4,0.77,0.77
"12705","MER84.int.ERV1.LTR",92.97,83.39,90.82,2.78,1.82,3.23,3.24,1.42,0.77,0.77
"21621","Tigger17.TcMar.Tigger.DNA",91.21,80.97,89.42,2.78,1.82,3.23,3.24,1.53,0.77,0.77
"22159","TONSL.AS1",77.07,77.81,31.79,2.78,1.82,3.23,3.24,4.44,0.78,0.78
"12719","MER92B.ERV1.LTR",7.29,3.71,81.03,2.78,1.82,3.23,3.24,66.96,0.78,0.78
"3827","CNTNAP2-AS1",25.3,14.28,78.77,4.81,7.07,4.79,4.72,3.12,0.79,0.79
"20850","ST13P15",88.43,84.87,65,6.5,10.95,1.21,1.21,1.07,0.79,0.79
"16071","PP2D1",0.75,1.23,43.35,27.65,33.34,21,17.41,4.11,0.79,0.79
"16252","PRDM7",82.85,72.01,83.64,2.78,1.82,3.23,3.24,2.16,0.8,0.8
"10331","LOC100505716",92.02,87.85,70.06,2.78,1.82,3.23,3.24,1.98,0.8,0.8
"4954","DMRT2",81.02,53.89,97.13,1.04,18.68,0.05,0.05,29.09,0.81,0.81
"7759","HERVK3.int.ERVK.LTR",3.53,0.92,88.96,10.04,1.82,3.23,3.24,83.44,0.81,0.81
"2908","CCDC70",11.39,5.14,82.27,7.98,28.19,4.89,4.91,6.92,0.81,0.81
"5947","FAM134C",0.03,0.02,39.93,62.36,33.52,66.77,19.19,87.7,0.82,0.82
"9452","L1MEc.L1.LINE",6.77,1.54,91.4,2.78,1.82,3.23,3.24,92.49,0.82,0.82
"9723","LIMS3L",67.53,38.5,94.16,2.78,1.82,3.23,3.24,4.39,0.83,0.83
"10179","LNX1",37.74,21.71,91.48,3.61,15.73,4.26,4.24,4.52,0.83,0.83
"15450","PEG3",51.07,12.21,98.9,4.04,23.67,2.25,2.26,3.67,0.83,0.83
"16651","PTPRT",9.4,24.2,37.58,8.58,22.42,5.73,5.72,4.03,0.84,0.84
"17890","RP11-346C20.3",94.98,91.43,87.9,6.5,10.95,1.21,1.21,0.81,0.84,0.84
"22976","UCON107.hAT.Tag1.DNA",88.78,84.98,64.13,2.78,1.82,3.23,3.24,2.59,0.85,0.85
"9416","L1MB8.L1.LINE",4.06,0.71,91.52,9.45,1.82,3.23,3.24,92.91,0.85,0.85
"13413","MLT1H1.ERVL.MaLR.LTR",10.19,1.78,93.36,2.78,1.82,3.23,3.24,80.01,0.86,0.86
"10075","LINC02575",0.04,0.72,5.41,93.85,19.43,94.51,24.05,18.29,0.86,0.86
"2520","C9orf135",91.34,96.99,1.63,98.65,43.69,10.25,9.56,0.15,0.86,0.86
"5340","EDRF1.AS1",89.51,85.61,65.52,2.78,94.69,3.23,3.24,0.69,0.87,0.87
"12653","MER61C.ERV1.LTR",69.77,79.72,6.78,2.78,1.82,3.23,3.24,21.76,0.87,0.87
"11912","LTR33.ERVL.LTR",6.5,2.11,88.81,2.78,1.82,3.23,3.24,90.53,0.88,0.88
"21094","SVA_B.SVA.Retroposon",7.37,2.8,86.51,2.78,1.82,3.23,3.24,80.05,0.88,0.88
"9445","L1ME3G.L1.LINE",7.22,1.84,90.86,2.78,1.82,3.23,3.24,91.72,0.88,0.88
"449","ACTL6B",36.81,6.09,95.12,4.29,35.17,4.73,4.75,3.37,0.89,0.89
"14654","NT5DC4",3.15,1.8,78.08,23.15,84.38,19.82,15.26,1.14,0.89,0.89
"14938","OR5K2",48.17,25.72,97.69,1.67,99.74,0.05,0.05,12.71,0.9,0.9
"9411","L1MB2.L1.LINE",6.67,2.26,87.9,2.78,1.82,3.23,3.24,90.39,0.9,0.9
"9409","L1MA9.L1.LINE",1.53,0.3,89.17,10.26,75.46,3.23,3.24,90.27,0.9,0.9
"23249","VHRT",17.82,2.15,99.64,8.58,22.42,5.73,5.72,4.67,0.91,0.91
"8309","IFNW1",20,4.76,95.47,9.83,25.22,0.24,0.24,18.84,0.91,0.91
"15025","OTX2",13.66,4.11,96.95,1.04,18.68,8.19,6.16,20.4,0.92,0.92
"20146","SMEK1",0.09,0.14,45.68,44.74,43.69,10.25,9.56,91.84,0.92,0.92
"9496","L1PREC2.L1.LINE",9.58,1.7,93.16,2.78,1.82,3.23,3.24,89.35,0.92,0.92
"9444","L1ME3F.L1.LINE",4.2,0.45,93.12,2.78,91.84,3.23,3.24,85.26,0.93,0.93
"10092","LINC02873",17.52,5.57,90.29,4.96,35.89,4.68,4.5,6.8,0.93,0.93
"11717","LRRC4B",94.98,85.69,93.74,2.78,1.82,3.23,3.24,1.9,0.94,0.94
"3267","CECR3",0.55,0.56,55.6,26.05,51.35,17.01,6.56,22.24,0.94,0.94
"17942","RP11-380G5.2",93.54,80.26,93.38,6.5,10.95,1.21,1.21,1.03,0.94,0.94
"10090","LINC02864",3.27,1.16,88.01,14.1,3.85,5.3,5.31,29.34,0.95,0.95
"16266","PRELP",14.42,3.67,97.64,4.67,18.68,4.23,4.21,19.18,0.95,0.95
"6061","FAM21EP",90.35,80.71,87.8,2.78,1.82,3.23,3.24,2.35,0.96,0.96
"14236","NDUFV2.AS1",28.73,8.5,93.82,2.78,1.82,3.23,3.24,30.94,0.96,0.96
"14941","OR6C3",4.49,7.64,63.18,18.67,99.81,5.73,5.72,1.37,0.97,0.97
"21475","TEX19",7.62,5.01,86.72,8.58,22.42,5.73,5.72,7.59,0.97,0.97
"12003","LTR79.ERVL.LTR",12.12,2.45,92.85,2.78,1.82,3.23,3.24,75.37,0.97,0.97
"11757","LRTM1",78.68,42.89,98.95,1.04,99.36,0.05,0.05,16.58,0.98,0.98
"21555","THE1B.ERVL.MaLR.LTR",9.66,1.68,93.24,2.78,1.82,3.23,3.24,92.37,0.98,0.98
"23565","X6B_LINE.CR1.LINE",18.18,7.74,88.58,2.78,1.82,3.23,3.24,44.05,0.99,0.99
"1068","ANKUB1",2.47,1.93,26.84,21.37,55.59,33.27,23,1.88,0.99,0.99
"6964","GK-AS1",91.83,83.72,86.94,6.5,10.95,1.21,1.21,1.15,0.99,0.99
"20601","SPANXB1",43.46,26.43,95.62,1.04,99.75,0.05,0.05,39.22,1,1
"3105","CD81-AS1",7.93,1.8,93.39,14.12,14.89,4.46,4.5,17.39,1,1
"9455","L1MEg.L1.LINE",9.33,1.89,92.58,2.78,1.82,3.23,3.24,91.81,1.01,1.01
"20884","STAC",63.07,32.68,98.5,4.08,99.59,0.05,0.05,6.03,1.01,1.01
"9317","KRT32",35.52,22.28,97.24,4.85,33.91,4.41,4.48,1.99,1.01,1.01
"9432","L1MDa.L1.LINE",11.14,1.87,93.51,2.78,1.82,3.23,3.24,88.64,1.02,1.02
"9402","L1MA4.L1.LINE",9.22,2.18,91.68,2.78,1.82,3.23,3.24,89.56,1.02,1.02
"17919","RP11-357N13.3",95.08,91.69,88.46,6.5,10.95,1.21,1.21,1.03,1.03,1.03
"6961","GJC3",11.36,4.85,95.98,17.78,22.42,5.73,5.72,2.45,1.03,1.03
"22983","UCON33.TcMar.Tigger.DNA",92.19,81.11,91.38,2.78,1.82,3.23,3.24,2.41,1.03,1.03
"8589","INGX",4.92,2.01,97.34,26.7,33.91,4.41,4.48,7.93,1.04,1.04
"12637","MER57E2.ERV1.LTR",94.67,89.87,83.66,2.78,1.82,3.23,3.24,2.38,1.04,1.04
"10000","LINC01511",33.4,15.74,87.03,1.31,19.43,0.14,0.14,52.47,1.05,1.05
"5225","DUSP15",53.1,28.16,98.02,19.46,18.68,0.05,0.05,7.26,1.05,1.05
"14839","OLIG3",22.85,6.08,98.31,1.04,18.68,8.13,6.35,11.74,1.05,1.05
"18587","RP3-465N24.5",74.71,93.97,0.37,96.55,10.95,96.7,95.12,0.04,1.06,1.06
"13097","MIR4646",80.87,57.06,93.98,2.78,86.53,3.23,3.24,1.17,1.06,1.06
"5061","DNMT3L",36.25,13.84,98.31,8.27,18.68,0.05,0.05,38.04,1.07,1.07
"11809","LTR104_Mam.Gypsy.LTR",19.16,3.5,93.99,2.78,1.82,3.23,3.24,60.24,1.07,1.07
"5484","EIF4HP1",89.89,82.12,83.78,6.5,10.95,1.21,1.21,1.33,1.08,1.08
"9419","L1MC2.L1.LINE",10.31,2.28,92.1,2.78,1.82,3.23,3.24,88.37,1.08,1.08
