"","Symbol","Within Variation (SD)","Total Variation (SD)","Rs","subject","time","repeatability","gen.variance","Average Expression","OVERALL_RP","OVERALL_RANK"
"1874","BEAN1",92.99,90.72,51.62,43.91,3.76,39.56,88.91,4.79,37.8,37.8
"7730","HERV1_LTRa.ERV1.LTR",72.96,70.73,52.11,43.56,1.82,29.31,68.35,19.47,37.8,37.8
"12898","MINOS1.NBL1",60.66,56,61.25,15.33,97.57,15.13,21.55,49.68,37.8,37.8
"13575","MRGBP",9.95,12.26,47.95,53.26,25.83,59.01,41.56,71.32,37.81,37.81
"17875","RP11-335O4.3",87.08,80.48,76.81,31.32,96.73,26.74,79.95,2.44,37.81,37.81
"6477","FLJ42627",42.36,26.71,72.7,23.7,31.08,24.02,23.4,69.07,37.82,37.82
"11045","LOC102723526",84.32,77.83,72.33,58.95,43.69,10.25,9.56,37.45,37.82,37.82
"5847","EYA3",9.05,11,45.07,65.99,74.58,57.6,36.33,63.79,37.82,37.82
"7568","HADHB",3.64,7.78,25.72,71.75,61.44,69.14,45.54,94.27,37.83,37.83
"16129","PPM1G",6.1,10.21,47.78,63.14,86.67,52.67,33.29,75.32,37.83,37.83
"16779","RAB30",27.03,25.34,56.63,46.94,67.28,42.31,36.55,38.7,37.84,37.84
"7855","HIST1H2BI",64.96,94.42,0.83,98.64,43.69,60.44,71.5,45.45,37.84,37.84
"6570","FOXN3",12.22,11.59,54,50.51,32.88,41.99,31.25,84.59,37.84,37.84
"15854","PLK3",40.17,34.12,75.63,26.29,84.52,20.14,15.92,64.77,37.85,37.85
"5232","DUSP26",55.96,57.04,66.1,24.31,70.8,24.63,22.99,35.78,37.85,37.85
"23297","VPS35",3.82,11.8,26.11,75.42,32.67,70.87,50.63,79.95,37.86,37.86
"13210","MIR6721",7.36,18.53,8.28,88.02,98.64,90.93,56.83,38.36,37.86,37.86
"22375","TRBV20-1",6.09,22.55,10.03,91.75,10.95,84.54,61.89,66.03,37.87,37.87
"21155","SYT3",77.53,61.39,80.38,18.07,26.58,23.89,29.93,30.28,37.87,37.87
"21083","SUSD5",71.43,53.7,88.25,14.87,92.22,20.32,22.06,33.95,37.87,37.87
