"X","Symbol","P.Score","P.Studies","AdjP.Score","AdjP.Studies","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P.value.Studies","Adjusted.P.value.Studies"
6377,"LYSMD1",4,"gosch9 obermoser4FLUBaselineVSthree obermoser4PNEUMBaselineVSnine obermoser4PNEUMBaselineVSsix",0,"",0,0,1,3,0,0,0,2,0
6380,"ABCA7",5,"gosch12 gosch15 obermoser3PNEUMBaseVSone obermoser3SalineBaseVSseven obermoser3SalineBaseVSten",0,"",0,0,2,3,0,0,0,2,0
6381,"NOTCH4",12,"meaburn1 gosch6 obermoser1FluBaseVSten obermoser1PneumBaseVSfourteen obermoser1PneumBaseVStwentyOne obermoser1SalineBaseVStwentyEight obermoser2SalineBaseVSseven obermoser3PNEUMBaseVSpoint5 obermoser3PNEUMBaseVSseven obermoser3PNEUMBaseVSthree dusek rusch",1,"gosch6",0,1,1,8,1,1,0,5,1
6385,"GTF3C1",6,"obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVSten obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSnine obermoser4SalineBaselineVSthirtySix",0,"",0,0,0,6,0,0,0,1,0
6386,"CLEC4A",10,"gosch6 gosch9 gosch12 gosch15 obermoser1FluBaseVSone obermoser1FluBaseVSthree obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser3PNEUMBaseVSten rusch",3,"gosch9 gosch12 obermoser1PneumBaseVSseven",0,0,4,5,0,1,0,3,2
6388,"SEC24D",18,"meaburn1 gosch6 gosch9 gosch12 gosch15 obermoser1SalineBaseVSseven obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour dusek rusch",2,"gosch9 gosch12",0,1,4,11,1,1,0,5,1
6389,"PELI2",24,"gosch6 gosch9 gosch12 gosch15 gosch18 gosch21 obermoser1FluBaseVSone obermoser1FluBaseVStwentyEight obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1SalineBaseVSseven obermoser2PNEUMBaseVSZero obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSseven obermoser3PNEUMBaseVSzero obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve rusch",7,"gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSseven obermoser4SalineBaselineVSthree",0,0,6,17,0,1,0,3,2
6390,"ZNF605",14,"meaburn2 gosch9 obermoser1SalineBaseVSseven obermoser2FLUBaseVSZero obermoser3FLUBaseVSpoint5 obermoser3FLUBaseVStwentyEight obermoser3PNEUMBaseVSone obermoser3PNEUMBaseVStwentyEight obermoser4PNEUMBaselineVStwentyFour obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree rusch",1,"gosch9",0,1,1,11,0,1,0,4,1
6391,"ATG14",6,"gosch12 obermoser2PNEUMBaseVSZero obermoser3PNEUMBaseVSone obermoser3PNEUMBaseVSzero obermoser4PNEUMBaselineVSone.5 rusch",0,"",0,0,1,4,0,1,0,3,0
6392,"NFKB2",23,"obermoser1FluBaseVSone obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSzero obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSseven obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSsix obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVStwentyFour obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",1,"obermoser1PneumBaseVSseven",0,0,0,23,0,0,0,1,1
