"X","Symbol","P.Score","P.Studies","AdjP.Score","AdjP.Studies","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","P.value.Studies","Adjusted.P.value.Studies"
1,"NEK8",15,"gomez gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser4PNEUMBaselineVSfortyEight obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour",4,"gosch6 gosch9 gosch12 gosch15",1,0,4,10,0,0,0,3,1
2,"IPP",14,"gomez meaburn1 meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyOne obermoser1SalineBaseVSfourteen obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwentyFour",3,"gosch9 gosch12 obermoser1PneumBaseVSseven",1,2,2,9,0,0,0,4,2
3,"CDKN2AIPNL",21,"gomez meaburn2 gosch9 gosch21 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser1SalineBaseVSfourteen obermoser1SalineBaseVStwentyEight obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero",5,"obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve",1,1,2,17,0,0,0,4,1
5,"MAPK7",28,"gomez gosch6 gosch9 gosch12 gosch18 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1SalineBaseVSseven obermoser2PNEUMBaseVSZero obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSone obermoser3SalineBaseVSpoint5 obermoser3SalineBaseVSzero obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSnine obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",3,"gosch9 gosch12 obermoser4SalineBaselineVSthirtySix",1,0,4,23,0,0,0,3,2
7,"NAT10",19,"gomez gosch6 gosch9 gosch12 gosch15 gosch21 obermoser1SalineBaseVSseven obermoser1SalineBaseVSzero obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",7,"gosch9 gosch12 gosch15 obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree",1,0,5,13,0,0,0,3,2
8,"SERPINB2",5,"gomez obermoser3FLUBaseVSseven obermoser3FLUBaseVSten obermoser3FLUBaseVStwentyEight obermoser3PNEUMBaseVSpoint5",0,"",1,0,0,4,0,0,0,2,0
9,"LRIG1",19,"gomez meaburn1 meaburn2 gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1FluBaseVSone obermoser1FluBaseVStwentyEight obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSthree obermoser3SalineBaseVStwentyEight obermoser4FLUBaselineVStwelve obermoser4PNEUMBaselineVSfifteen obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree rusch",5,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSone",1,2,5,10,0,1,0,5,2
11,"LINC00921",13,"gomez meaburn1 meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser3FLUBaseVSone obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree larocca",1,"gosch9",1,2,2,7,0,0,1,5,1
12,"ALCAM",7,"gomez meaburn2 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVStwentyFour rusch",0,"",1,1,0,4,0,1,0,4,0
13,"TRIM68",13,"gomez gosch12 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSnine",1,"obermoser4FLUBaselineVSfifteen",1,0,1,11,0,0,0,3,1
14,"CCDC88A",16,"gomez gosch15 obermoser3PNEUMBaseVSone obermoser3SalineBaseVSone obermoser3SalineBaseVSpoint5 obermoser3SalineBaseVSten obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVStwelve obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix dusek rusch",0,"",1,0,1,12,1,1,0,5,0
17,"DCAF15",12,"gomez gosch21 obermoser1FluBaseVStwentyEight obermoser1FluBaseVSzero obermoser1PneumBaseVSseven obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser1SalineBaseVSfourteen obermoser4SalineBaselineVSthree dusek rusch",1,"obermoser1PneumBaseVSseven",1,0,1,8,1,1,0,5,1
23,"SFXN2",17,"gomez meaburn1 gosch9 gosch12 gosch15 gosch21 obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSone obermoser3PNEUMBaseVSthree obermoser3PNEUMBaseVStwentyEight obermoser3SalineBaseVSseven obermoser3SalineBaseVSten obermoser4FLUBaselineVSthree obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwentyFour",3,"gosch9 gosch12 gosch15",1,1,4,11,0,0,0,4,1
24,"ERCC4",19,"gomez gosch9 gosch12 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVSthree obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour rusch",3,"gosch9 gosch12 obermoser4FLUBaselineVStwelve",1,0,2,15,0,1,0,4,2
27,"TOM1L2",14,"gomez gosch12 obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1SalineBaseVStwentyEight obermoser1SalineBaseVSzero obermoser2PNEUMBaseVSseven obermoser4FLUBaselineVSthree obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSthirtySix obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine",2,"gosch12 obermoser1PneumBaseVSseven",1,0,1,12,0,0,0,3,2
29,"SIPA1L3",12,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1SalineBaseVSone obermoser3PNEUMBaseVSthree obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve rusch",4,"gosch6 gosch9 gosch12 obermoser4FLUBaselineVSfifteen",1,0,5,5,0,1,0,4,2
30,"MYOF",26,"gomez gosch9 obermoser1FluBaseVSone obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1SalineBaseVSseven obermoser3FLUBaseVSone obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSthree obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero rusch",9,"obermoser1FluBaseVSone obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwentyFour obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSsix obermoser4SalineBaselineVStwelve",1,0,1,23,0,1,0,4,1
31,"AKAP17A",9,"gomez gosch21 obermoser1FluBaseVSone obermoser1PneumBaseVSseven obermoser1SalineBaseVSseven obermoser1SalineBaseVSthree obermoser1SalineBaseVStwentyOne obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVSfortyEight",1,"obermoser1PneumBaseVSseven",1,0,1,7,0,0,0,3,1
33,"POLM",13,"gomez obermoser1PneumBaseVSseven obermoser3FLUBaseVSten obermoser3FLUBaseVStwentyEight obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSthree obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSthree obermoser4PNEUMBaselineVStwelve obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",1,"obermoser4SalineBaselineVSfortyEight",1,0,0,12,0,0,0,2,1
35,"HDC",11,"gomez meaburn2 gosch6 gosch9 gosch12 gosch15 obermoser1SalineBaseVStwentyOne obermoser3SalineBaseVSten obermoser3SalineBaseVStwentyEight obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSthree",3,"gosch9 gosch12 gosch15",1,1,4,5,0,0,0,4,1
36,"PPT2",16,"gomez meaburn2 gosch12 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser2FLUBaseVSseven obermoser2FLUBaseVSZero obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSthree obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero",1,"gosch12",1,1,1,13,0,0,0,4,1
37,"MOB3B",6,"gomez obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser2SalineBaseVSseven",1,"obermoser1PneumBaseVSseven",1,0,0,5,0,0,0,2,1
38,"DHX37",20,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1FluBaseVSten obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1SalineBaseVStwentyEight obermoser3FLUBaseVSone obermoser3FLUBaseVSpoint5 obermoser3FLUBaseVSseven obermoser3FLUBaseVSten obermoser3FLUBaseVSthree obermoser3FLUBaseVStwentyEight obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthirtySix obermoser4SalineBaselineVSone.5",3,"gosch9 gosch12 gosch15",1,0,5,14,0,0,0,3,1
39,"C11orf24",10,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSseven obermoser2PNEUMBaseVSseven obermoser3PNEUMBaseVSpoint5 obermoser3PNEUMBaseVStwentyEight",3,"gosch9 gosch12 gosch15",1,0,5,4,0,0,0,3,1
44,"ZNF320",11,"gomez gosch9 gosch12 gosch15 obermoser3PNEUMBaseVSthree obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthree",2,"gosch12 gosch15",1,0,3,7,0,0,0,3,1
45,"GATA2",4,"gomez meaburn2 gosch12 rusch",0,"",1,1,1,0,0,1,0,4,0
46,"MAN2A2",14,"gomez gosch6 gosch9 gosch12 gosch15 obermoser1FluBaseVSfourteen obermoser1FluBaseVSseven obermoser1FluBaseVSten obermoser1FluBaseVStwentyEight obermoser1FluBaseVStwentyOne obermoser1FluBaseVSzero obermoser1PneumBaseVSone obermoser3PNEUMBaseVSzero obermoser4PNEUMBaselineVSfifteen",5,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSone",1,0,4,9,0,0,0,3,2
47,"TXNDC15",4,"gomez meaburn2 obermoser1PneumBaseVSthree rusch",0,"",1,1,0,1,0,1,0,4,0
49,"MEMO1",24,"gomez gosch9 gosch12 obermoser1FluBaseVSfourteen obermoser1PneumBaseVSseven obermoser1SalineBaseVSone obermoser1SalineBaseVSseven obermoser1SalineBaseVSthree obermoser2PNEUMBaseVSseven obermoser2SalineBaseVSseven obermoser3FLUBaseVSthree obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero rusch",4,"gosch9 gosch12 obermoser1PneumBaseVSseven obermoser4SalineBaselineVStwelve",1,0,2,20,0,1,0,4,2
52,"ZNF687",9,"gomez meaburn1 gosch12 obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser4FLUBaselineVSsix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero",0,"",1,1,1,6,0,0,0,4,0
54,"AGL",33,"gomez meaburn2 gosch9 gosch12 obermoser1FluBaseVSten obermoser1PneumBaseVSone obermoser1PneumBaseVSten obermoser1PneumBaseVSthree obermoser1PneumBaseVStwentyOne obermoser3FLUBaseVSone obermoser3FLUBaseVSseven obermoser3PNEUMBaseVSthree obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSone.5 obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthirtySix obermoser4PNEUMBaselineVSthree obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwentyFour obermoser4SalineBaselineVSzero rusch",4,"gosch9 gosch12 obermoser1PneumBaseVSthree obermoser4FLUBaselineVSfifteen",1,1,2,28,0,1,0,5,2
59,"PRORSD1P",9,"gomez meaburn1 meaburn2 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVSzero obermoser3FLUBaseVStwentyEight dusek",1,"meaburn2",1,2,0,5,1,0,0,4,1
62,"USP49",17,"gomez meaburn1 gosch3 gosch6 gosch12 obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve dusek rusch",3,"gosch6 obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen",1,1,3,10,1,1,0,6,2
63,"CENPE",13,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSseven obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSfortyEight obermoser4PNEUMBaselineVSthree obermoser4PNEUMBaselineVStwentyFour obermoser4PNEUMBaselineVSzero rusch",5,"gosch6 gosch9 gosch12 gosch15 obermoser3PNEUMBaseVSseven",1,0,5,6,0,1,0,4,2
64,"RNF25",6,"gomez obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVSzero",0,"",1,0,0,5,0,0,0,2,0
65,"C3",10,"gomez meaburn1 gosch6 gosch9 obermoser1FluBaseVSone obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSthree obermoser1SalineBaseVStwentyEight obermoser3PNEUMBaseVSone",1,"obermoser1PneumBaseVSone",1,1,2,6,0,0,0,4,1
67,"ZNF252P-AS1",7,"gomez meaburn2 gosch3 gosch15 obermoser1PneumBaseVSseven obermoser3SalineBaseVSten obermoser3SalineBaseVStwentyEight",0,"",1,1,2,3,0,0,0,4,0
72,"RAP1GDS1",21,"gomez obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1SalineBaseVSone obermoser3PNEUMBaseVSthree obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfifteen obermoser4PNEUMBaselineVSfortyEight obermoser4PNEUMBaselineVSsix obermoser4PNEUMBaselineVSthree obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree obermoser4SalineBaselineVStwentyFour rusch",1,"obermoser1PneumBaseVSseven",1,0,0,19,0,1,0,3,1
73,"ASXL2",16,"gomez obermoser1FluBaseVSseven obermoser1FluBaseVSzero obermoser1SalineBaseVSone obermoser1SalineBaseVSthree obermoser2PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero rusch",3,"obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve",1,0,0,14,0,1,0,3,1
74,"SLC31A1",11,"gomez gosch9 gosch12 gosch15 gosch21 obermoser1FluBaseVSone obermoser3FLUBaseVSone obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthirtySix",3,"gosch9 gosch12 gosch15",1,0,4,6,0,0,0,3,1
75,"DHX38",9,"gomez gosch12 gosch15 obermoser1FluBaseVStwentyOne obermoser2FLUBaseVSseven obermoser2SalineBaseVSseven obermoser3PNEUMBaseVStwentyEight obermoser4SalineBaselineVSfifteen rusch",1,"gosch12",1,0,2,5,0,1,0,4,1
76,"GGT7",20,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser3FLUBaseVSthree obermoser4FLUBaselineVSzero obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVSthree rusch",5,"gosch6 gosch9 gosch12 gosch15 obermoser1PneumBaseVSseven",1,0,5,13,0,1,0,4,2
78,"CAPN12",11,"gomez obermoser1PneumBaseVSone obermoser1PneumBaseVSten obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVStwelve rusch",0,"",1,0,0,9,0,1,0,3,0
83,"DIS3L2",19,"gomez meaburn1 meaburn2 gosch9 gosch12 gosch15 obermoser1PneumBaseVSfourteen obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4SalineBaselineVSfortyEight rusch",4,"gosch9 gosch12 obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen",1,2,3,12,0,1,0,5,2
84,"ERMP1",9,"gomez gosch9 gosch12 gosch15 gosch18 gosch21 obermoser1PneumBaseVStwentyOne obermoser2FLUBaseVSZero rusch",3,"gosch9 gosch15 gosch18",1,0,5,2,0,1,0,4,1
86,"BRPF1",15,"gomez obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSzero obermoser2PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSfortyEight obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero obermoser4PNEUMBaselineVSfifteen obermoser4SalineBaselineVSnine",3,"obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve",1,0,0,14,0,0,0,2,1
88,"SMURF2",16,"gomez meaburn2 gosch9 gosch12 gosch15 gosch18 gosch21 obermoser1PneumBaseVStwentyOne obermoser3FLUBaseVStwentyEight obermoser3FLUBaseVSzero obermoser3PNEUMBaseVSten obermoser4FLUBaselineVSsix obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthree rusch",3,"gosch9 gosch12 gosch15",1,1,5,8,0,1,0,5,1
90,"EIF4ENIF1",12,"gomez meaburn2 obermoser3FLUBaseVSone obermoser3FLUBaseVSseven obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSsix obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVStwelve larocca",0,"",1,1,0,9,0,0,1,4,0
91,"HMGB3",12,"gomez meaburn2 gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSone obermoser1PneumBaseVSten obermoser1PneumBaseVSthree obermoser1PneumBaseVSzero rusch",4,"gosch6 gosch12 gosch15 obermoser1PneumBaseVSzero",1,1,5,4,0,1,0,5,2
92,"SRFBP1",4,"gomez obermoser1PneumBaseVSzero obermoser4SalineBaselineVSfortyEight obermoser4SalineBaselineVSone.5",0,"",1,0,0,3,0,0,0,2,0
94,"GPBP1L1",20,"gomez gosch6 gosch9 gosch12 gosch15 gosch18 obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSzero obermoser2PNEUMBaseVSZero obermoser3PNEUMBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSsix obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVSthree obermoser4FLUBaselineVStwentyFour obermoser4PNEUMBaselineVSone.5 obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVStwentyFour rusch",4,"gosch6 gosch9 gosch12 gosch15",1,0,5,13,0,1,0,4,1
95,"CA13",13,"gomez meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser1PneumBaseVStwentyOne obermoser3FLUBaseVSzero obermoser4PNEUMBaselineVSnine obermoser4PNEUMBaselineVStwelve obermoser4PNEUMBaselineVSzero obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSfortyEight rusch",2,"gosch9 gosch12",1,1,2,8,0,1,0,5,1
98,"APP",22,"gomez obermoser1FluBaseVStwentyEight obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVSten obermoser1PneumBaseVSzero obermoser1SalineBaseVSseven obermoser1SalineBaseVSten obermoser2FLUBaseVSseven obermoser2PNEUMBaseVSseven obermoser2SalineBaseVSseven obermoser3FLUBaseVSpoint5 obermoser3PNEUMBaseVStwentyEight obermoser3SalineBaseVSten obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVSfifteen obermoser4SalineBaselineVSnine obermoser4SalineBaselineVSone.5 obermoser4SalineBaselineVSthirtySix obermoser4SalineBaselineVStwelve obermoser4SalineBaselineVStwentyFour",3,"obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4SalineBaselineVSthirtySix",1,0,0,21,0,0,0,2,1
99,"USP42",15,"gomez obermoser1FluBaseVSfourteen obermoser1FluBaseVSthree obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyOne obermoser3PNEUMBaseVSthree obermoser3SalineBaseVSpoint5 obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine obermoser4FLUBaselineVSone.5 obermoser4FLUBaselineVSthirtySix obermoser4FLUBaselineVStwelve obermoser4FLUBaselineVStwentyFour obermoser4FLUBaselineVSzero rusch",3,"obermoser1PneumBaseVSseven obermoser4FLUBaselineVSfifteen obermoser4FLUBaselineVSnine",1,0,0,13,0,1,0,3,1
101,"NUDT18",7,"gomez gosch9 obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSten obermoser1PneumBaseVStwentyEight obermoser3SalineBaseVSten rusch",0,"",1,0,1,4,0,1,0,4,0
102,"CWC27",5,"gomez gosch9 gosch12 gosch15 rusch",2,"gosch9 gosch12",1,0,3,0,0,1,0,3,1
106,"FSD1L",16,"gomez meaburn1 meaburn2 gosch3 gosch18 gosch21 obermoser1FluBaseVStwentyOne obermoser1PneumBaseVSzero obermoser1SalineBaseVSone obermoser1SalineBaseVSthree obermoser1SalineBaseVSzero obermoser3FLUBaseVSseven obermoser3FLUBaseVSthree obermoser3SalineBaseVSthree obermoser4SalineBaselineVSfortyEight rusch",0,"",1,2,3,9,0,1,0,5,0
108,"KCTD18",7,"gomez meaburn2 obermoser3PNEUMBaseVSseven obermoser3SalineBaseVSpoint5 obermoser3SalineBaseVSseven obermoser3SalineBaseVSthree rusch",0,"",1,1,0,4,0,1,0,4,0
110,"PLEKHA3",12,"gomez meaburn2 gosch9 gosch12 obermoser1PneumBaseVSone obermoser1PneumBaseVSseven obermoser1PneumBaseVStwentyEight obermoser1PneumBaseVStwentyOne obermoser1PneumBaseVSzero obermoser3SalineBaseVSten obermoser4SalineBaselineVSthirtySix rusch",2,"gosch12 obermoser1PneumBaseVSseven",1,1,2,7,0,1,0,5,2
