"","gene_name"
"298","CCDC18-AS1"
"299","AP003068.23"
"300","ORAI2"
"301","TLCD2"
"302","AC125232.1"
"303","TAGLN"
"304","HLA-DOB"
"305","QDPR"
"306","GRIK4"
"307","ELP3"
"308","GTF2IP14"
"309","BICDL2"
"310","WBSCR27"
"311","SETD9"
"312","AP003774.1"
"313","AP000350.6"
"314","BEX4"
"315","RP11-212I21.2"
"316","NPIPB2"
"317","CNN2"
"318","LILRP2"
"319","PPT1"
"320","ZNF205"
"321","CISD1"
"322","HLA-DPB2"
"323","SIRPB2"
"324","DUT"
"325","CBLN3"
"326","METTL26"
"327","CTNNA1"
"328","F8A1"
"329","RIN1"
"330","SMIM1"
"331","SAPCD2"
"332","CTD-2228K2.7"
"333","EYA3"
"334","TMEM164"
"335","NEBL"
"336","CH17-118O6.6"
"337","CTD-2353F22.1"
"338","PM20D1"
"339","KHNYN"
"340","ARSA"
"341","L3MBTL3"
"342","UHRF1BP1"
"343","AP001189.4"
"344","U2AF1L4"
"345","CTD-2303H24.2"
"346","GSTM3"
"347","AMACR"
"348","AC005154.8"
"349","SCGB3A1"
"350","LINC00649"
"351","ZNF749"
"352","ARFIP1"
"353","LILRA6"
"354","SNHG9"
"355","IGLC3"
"356","AF011889.2"
"357","SH3YL1"
"358","TMEM204"
"359","DDT"
"360","MRPL23"
"361","MIF"
"362","GTF2H2B"
"363","IGKV2-29"
"364","RP11-298I3.6"
"365","ZADH2"
"366","IRF5"
"367","WASHC1"
"368","SDHDP6"
"369","PADI6"
"370","CLHC1"
"371","RNF182"
"372","UTS2"
"373","NSA2"
"374","BBS2"
"375","AC005154.6"
"376","NT5DC3"
"377","IGKV1D-13"
"378","RP11-707O23.1"
"379","GBP3"
"380","ADCK1"
"381","EXOSC6"
"382","ITIH4"
"383","HLA-DRB6"
"384","PLEC"
"385","ERAP1"
"386","RP11-33B1.1"
"387","VPS53"
"388","RP11-218M22.1"
"389","XKR3"
"390","DRC7"
"391","AP002954.4"
"392","ERO1A"
"393","PPIL3"
"394","CEP192"
"395","FN3KRP"
"396","ANKRD34B"
"397","ALDH16A1"
"398","MTDHP4"
"399","TACSTD2"
"400","HERC2"
"401","MAP7D1"
"402","TMC4"
"403","CTD-2017D11.1"
"404","NUDT2"
"405","HLA-S"
"406","RP11-273B20.1"
"407","CIB1"
"408","AC005363.9"
"409","C9orf78"
"410","NCSTN"
"411","RPL8"
"412","GSDMB"
"413","YIPF5"
"414","DBF4B"
"415","AKAP10"
"416","COQ8A"
"417","NMRAL1"
"418","INPP5B"
"419","VKORC1L1"
"420","NQO2"
"421","FAM3A"
"422","MGME1"
"423","SEPSECS-AS1"
"424","HBZ"
"425","NOMO3"
"426","LY75"
"427","RP11-488L18.4"
"428","WASHC2C"
"429","IGKV1-13"
"430","HEATR3"
"431","RP11-121C2.2"
"432","PCGF3"
"433","PI4KAP1"
"434","SMCO4"
"435","SARS2"
"436","ZNF155"
"437","TOMM34"
"438","RP11-63G10.4"
"439","CTSW"
"440","RAD51C"
"441","USP39"
"442","PDCD6IP"
"443","CDCA7L"
"444","KRT72"
"445","STYXL1"
"446","ZNF559"
"447","RP11-81H14.2"
"448","FLVCR1"
"449","RP4-570O12.3"
"450","STK32C"
"451","PKP4"
"452","HERC2P2"
"453","SH3BGRL"
"454","LDHC"
"455","SPATA5L1"
"456","CASC8"
"457","KCNMA1"
"458","CTD-2006K23.1"
"459","WARS"
"460","F2RL1"
"461","CLUHP3"
"462","NUDT18"
"463","CTD-2306A12.1"
"464","AHSA2"
"465","C20orf27"
"466","PPP2R3C"
"467","SURF6"
"468","RP1-161N10.1"
"469","RPA2"
"470","PPP2CB"
"471","EXOC3"
"472","PGM5"
"473","WDR6"
"474","PLGLB1"
"475","RP11-809O17.1"
"476","CAT"
"477","RP11-661A12.9"
"478","NELFCD"
"479","FCRL5"
"480","EP400NL"
"481","RP11-632K20.2"
"482","GPX7"
"483","CTA-390C10.10"
"484","POMZP3"
"485","CH17-264L24.1"
"486","MGRN1"
"487","CLCN7"
"488","CSGALNACT1"
"489","RP11-465N4.5"
"490","TP53I3"
"491","GLB1L"
"492","CTD-2270P14.5"
"493","RP11-133K1.12"
"494","COPG2"
"495","RALBP1"
"496","PSMB9"
"497","CSTB"
"498","TUBB8P12"
"499","LINC00680"
"500","PF4V1"
