"","Within Variation (SD)","Total Variation (SD)","Rs","Average Expression","subject","response","time:response","time","Residuals","repeatability","gen.variance","res.variance","Symbol"
"MER31.int.ERV1.LTR",0.191748308075336,0.251776809195706,0.76158049936319,2.72753724595146,0.098739405096566,1.35997640715906e-09,6.96333637504077e-11,0.0107617776973415,0.890498815776483,0.143605969975438,0.00909569493553422,0.0542421658587622,"MER31.int.ERV1.LTR"
"MER31A.ERV1.LTR",0.160438973237877,0.26169345139067,0.613079816805831,4.27103262655713,0.326384433054371,5.22459011860383e-10,5.40900829812515e-13,1.31309231760904e-09,0.673615565109537,0.332298771154376,0.023366667493118,0.0469515807867187,"MER31A.ERV1.LTR"
"MER31B.ERV1.LTR",0.18676563771318,0.291753171036654,0.640149469668371,3.40861597716379,0.193338455216699,9.50813423141166e-10,0.00825454394253355,1.97531153225959e-10,0.798406999692423,0.208046851200211,0.0178547799526441,0.0679661774405626,"MER31B.ERV1.LTR"
"MER33.hAT.Charlie.DNA",0.180368059541052,0.243073935727312,0.742029617455139,5.753686649099,0.0821440403664838,0.0639909294315683,6.34783435603106e-10,0.00842702703921765,0.845438002527947,0.078716096381731,0.00424624054865114,0.049697498328581,"MER33.hAT.Charlie.DNA"
"MER34.ERV1.LTR",0.1809697950443,0.241230561835981,0.750194310650183,2.78377729046615,0.239109264323866,0,7.74745386778816e-11,0,0.76089073559866,0.266950384439397,0.0161152931463206,0.0442528279941045,"MER34.ERV1.LTR"
"MER34.int.ERV1.LTR",0.358904319166505,0.557923042115078,0.643286424962669,0.567238125873179,0.258227225763308,0.036296713801299,9.15432264209155e-16,0,0.705476060435392,0.244982390723045,0.0730364858480756,0.225093047595184,"MER34.int.ERV1.LTR"
"MER34A.ERV1.LTR",0.224317067545101,0.294820227015698,0.760860507488711,3.24992348818559,0.148983141290992,0,0,0.0694662807089517,0.781550578000056,0.177685400255736,0.0144831740514694,0.0670270346129695,"MER34A.ERV1.LTR"
"MER34A1.ERV1.LTR",0.283730171461941,0.429939101484169,0.659931070429489,2.37985104905484,0.266608834580511,8.94178161490482e-12,6.98592440006646e-12,0,0.733391165403562,0.277465021799895,0.0532262876968555,0.138604334237327,"MER34A1.ERV1.LTR"
"MER34B.ERV1.LTR",0.268795088957326,0.387366111139737,0.693904503330086,1.86198204715301,0.13971089914874,0.0400841251919613,3.30296274167185e-12,0,0.820204975655996,0.13492589494645,0.0194170684128714,0.124492063489331,"MER34B.ERV1.LTR"
"MER34B.int.ERV1.LTR",0.294706694353593,0.479262795297056,0.6149166954863,4.31731500984185,0.387692010922474,8.895526230468e-08,2.13043966115989e-09,0.0230806994862364,0.589227198505588,0.411210864062681,0.0935787355371294,0.133989997965167,"MER34B.int.ERV1.LTR"
"MER34C_.ERV1.LTR",0.287831829151271,0.406350455976147,0.708333963745243,1.03715444207127,0.0330961939697758,0,0.00655648467522473,0,0.960347321355,0.0518182978709484,0.00856871628930794,0.156792104914199,"MER34C_.ERV1.LTR"
"MER34C.ERV1.LTR",0.661718671069627,1.02098466540737,0.648118128988356,-1.53681262153925,0.371262446265263,0,0.0353913096530149,0,0.593346244081722,0.34757651331625,0.36851826152632,0.691732495955143,"MER34C.ERV1.LTR"
"MER34C2.ERV1.LTR",0.307671932594668,0.418232517667539,0.735648041693502,1.88384532848671,0,0,0,0,1,0,0,0.183017338489235,"MER34C2.ERV1.LTR"
"MER34D.ERV1.LTR",0.229937588149191,0.374250139628141,0.614395463893906,1.98845986933836,0.388440678873473,0,0,0,0.611559321126527,0.401190420122319,0.0583721638458943,0.0871252381810466,"MER34D.ERV1.LTR"
"MER39.ERV1.LTR",0.192586428847205,0.226192536579682,0.851426982337068,4.09212106614129,0,0,0,0,1,0,0,0.0593330168203106,"MER39.ERV1.LTR"
"MER39B.ERV1.LTR",0.186086023647712,0.283483598338014,0.656426067464512,2.76658733185752,0.221466007483576,0,1.41847214982484e-09,0,0.778533991097952,0.256115009058785,0.0210645624260583,0.0611819349716144,"MER39B.ERV1.LTR"
"MER4.int.ERV1.LTR",0.197661256120535,0.264000459610043,0.748715575770217,4.77320656937259,0,0.108931265195269,5.38505991190449e-12,0.00860628038556565,0.88246245441378,0,0,0.0621145839411106,"MER4.int.ERV1.LTR"
"MER41.int.ERV1.LTR",0.194825773933061,0.304505352773812,0.639810670513166,3.33532157472287,0.301933241734572,0,0,1.30631225837707e-15,0.698066758265427,0.325347308534112,0.0304721405074438,0.0631882024802986,"MER41.int.ERV1.LTR"
"MER41A.ERV1.LTR",0.213320614440788,0.282271823067279,0.755727624963629,4.28401974216913,2.63854249257621e-18,0,1.48875246003501e-22,2.12105048575735e-17,1,0,0,0.081310235418599,"MER41A.ERV1.LTR"
"MER41B.ERV1.LTR",0.149689154592104,0.243015967924901,0.615964275394292,4.7812935294332,0.43090426845902,0.0338270761429135,3.42373869136148e-08,0.0499364143584808,0.485332206802199,0.469238730849753,0.0255361348879456,0.0288842128137493,"MER41B.ERV1.LTR"
"MER41C.ERV1.LTR",0.296767326076194,0.562064766193799,0.527994892983327,2.84223305730556,0.594309958799262,1.80472087495831e-09,0,0,0.405690039396018,0.601928108498794,0.193724461373672,0.128115403949813,"MER41C.ERV1.LTR"
"MER41D.ERV1.LTR",0.213496880802243,0.302430590885949,0.705936790907358,2.11283250332702,1.99584930461145e-07,0.0100028938008339,4.9532069266304e-10,0,0.989996906118915,0.0204647637064239,0.00184362181204729,0.0882439960317189,"MER41D.ERV1.LTR"
"MER41E.ERV1.LTR",0.296224621534053,0.35022232249962,0.845818791388931,1.2707383962713,0,0,0,0,1,0,0,0.138815460378588,"MER41E.ERV1.LTR"
"MER41G.ERV1.LTR",0.262099504094951,0.454159612486669,0.577108789264357,3.03521937482541,0.430012962510484,0.00245239504958246,2.58198630317428e-09,1.43972177954198e-11,0.56753463984355,0.415288265561753,0.0847154185555098,0.119276424173099,"MER41G.ERV1.LTR"
"MER44A.TcMar.Tigger.DNA",0.203307187470551,0.371471821906755,0.547301774942122,3.27737877529458,0.389317176105782,0.00954150550458656,8.37955207264163e-13,0.00105549641751069,0.600085821971283,0.393630557062811,0.0527248167622092,0.0812201115879441,"MER44A.TcMar.Tigger.DNA"
"MER44B.TcMar.Tigger.DNA",0.242767189054079,0.322859675574589,0.751927872757815,3.71811532677214,0.0470063874146766,0.0549199807845981,7.37156905843941e-09,0,0.898073624429156,0.0298000800577151,0.00290249552594721,0.0944964215348734,"MER44B.TcMar.Tigger.DNA"
"MER44C.TcMar.Tigger.DNA",0.249113601055894,0.317729776977181,0.784042350156513,3.15650750402924,0,0,0,0,1,0,0,0.108138876550787,"MER44C.TcMar.Tigger.DNA"
"MER44D.TcMar.Tigger.DNA",0.271166156089314,0.358169228893054,0.757089482330381,1.86657631691165,0.0376039480067367,0.0141856254960539,1.86503045579667e-09,0.0403064285652576,0.907903996066921,0.0776408747359327,0.0092800447192526,0.110245202140927,"MER44D.TcMar.Tigger.DNA"
"MER45A.hAT.Tip100.DNA",0.187402361370108,0.256524007580221,0.730545117932104,4.17500225895058,0.0788774681971322,0.0170577823101026,3.2041272484754e-13,0,0.904064749492445,0.0552910584930826,0.00355438838488934,0.0607306602606169,"MER45A.hAT.Tip100.DNA"
"MER45B.hAT.Tip100.DNA",0.292874220820459,0.391805182005521,0.747499610192324,1.89473313046935,0.0318761030299845,0.0900482982693861,6.08746186326122e-10,4.4672579977337e-11,0.878075598047211,0.00806703374449263,0.00112624194168502,0.138484174644697,"MER45B.hAT.Tip100.DNA"
"MER45C.hAT.Tip100.DNA",0.237560918295221,0.390118622951025,0.608945342055727,2.7029919235449,0.449343685957487,0.00444091303896968,0,1.61421170664469e-09,0.546215399389332,0.450940715022827,0.0672461159906978,0.0818779567541947,"MER45C.hAT.Tip100.DNA"
"MER45R.hAT.Tip100.DNA",0.249168593846716,0.442250576012705,0.563410445031412,0.933802307061644,0.476067341078925,1.195461881446e-08,0,0.0141103964954093,0.509822250471047,0.508020542032244,0.0996508077556906,0.0965042677006201,"MER45R.hAT.Tip100.DNA"
"MER46C.TcMar.Tigger.DNA",0.177275294629026,0.265410071055611,0.66792979604712,4.6256273539587,0.143652013378133,0.00761156990940406,0.0636666881455689,1.77077597398058e-11,0.785069728549186,0.107795957458847,0.00714707821383283,0.0591548349776832,"MER46C.TcMar.Tigger.DNA"
"MER47A.TcMar.Tigger.DNA",0.19738820212331,0.372619028398135,0.529731943566782,3.94984464033934,0.35631405073931,0.0458151656205559,0,0,0.597870783640134,0.368925938035602,0.0483097869059463,0.0826373272036729,"MER47A.TcMar.Tigger.DNA"
"MER47B.TcMar.Tigger.DNA",0.396249956222232,0.476213981410569,0.832083835607935,1.26115280696684,0,0,0.00899080119630684,7.42780632093703e-11,0.991009198729415,0,0,0.226450351086664,"MER47B.TcMar.Tigger.DNA"
"MER47C.TcMar.Tigger.DNA",0.261115937939169,0.370083341818506,0.705559825135885,1.6025269141309,0.0227337924137657,0.0084612016899497,0.0353224900823683,0,0.933482515813916,0.0262824456797088,0.00342078279518851,0.126733877729022,"MER47C.TcMar.Tigger.DNA"
"MER48.ERV1.LTR",0.322698466974765,0.520384696966562,0.620115212564562,1.57836946132987,0.372105986848671,2.50319844754421e-08,9.13103224718993e-10,0,0.627893987206241,0.40286746423829,0.113211569305715,0.167802856914497,"MER48.ERV1.LTR"
"MER49.ERV1.LTR",0.316314754805818,0.504367501074263,0.627151341297946,5.87630186272063,0.072331761781557,0.114005361605783,5.63519491139282e-11,3.12525333036325e-10,0.813662876243783,0.0786283887580048,0.0177209038647131,0.207654487194779,"MER49.ERV1.LTR"
"MER4A.ERV1.LTR",0.223410643556186,0.306800936521676,0.728194138157076,3.59807559917207,0.055367681559278,0.0131767879472983,1.14642735325679e-13,0,0.931455530493309,0.0593099866400702,0.00550725484719251,0.0873481841636767,"MER4A.ERV1.LTR"
"MER4A1_.ERV1.LTR",0.291062087550696,0.479757182437733,0.60668625339126,1.96924507773374,0.447203205856523,0,1.01957093902647e-09,0,0.552796793123906,0.462677415551215,0.110678294933365,0.128534364283009,"MER4A1_.ERV1.LTR"
