"","Symbol","Obermoser_F_pvalue","Gosch_F_pvalue"
"1","ABCC10",0.0163929860118856,7.22801383967416e-07
"2","ABCE1",0.00962462198738332,6.61811952094763e-07
"3","ABCE1",0.112081383091173,6.61811952094763e-07
"4","ABCG1",0.00158158746222976,9.34731294601759e-07
"5","ABCG1",0.508504444714979,9.34731294601759e-07
"6","ABCG1",0.000344906370584861,9.34731294601759e-07
"7","ABCG1",0.525302066034886,9.34731294601759e-07
"8","ABHD14A",0.0191871891495757,0.0335307308878505
"9","ABHD5",0.000296128785601816,3.46436290328685e-14
"10","ABTB1",0.00370029136483141,7.83835162698678e-10
"11","ABTB1",0.326940572328015,7.83835162698678e-10
"12","ACBD6",0.000406776557164511,0.0210477134867427
"13","ACOX1",0.0168249886001813,2.99473495222949e-09
"14","ACOX1",0.720284732854663,2.99473495222949e-09
"15","ACOX1",0.280408996768769,2.99473495222949e-09
"16","ACSL1",0.00796614253354321,1.40775413229422e-06
"17","ACSL4",0.922538844693446,9.75485225694768e-06
"18","ACSL4",0.0661802887769406,9.75485225694768e-06
"19","ACSL4",0.047280835479533,9.75485225694768e-06
"20","ACTR1B",0.0156545975917397,0.00178203998869663
"21","ADAM28",0.0865234057239807,0.000260748272392909
"22","ADAM28",0.0182479819737387,0.000260748272392909
"23","ADAM28",0.349362492956125,0.000260748272392909
"24","ADK",0.000172963402098433,2.25153659248088e-11
"25","ADK",0.182597519861803,2.25153659248088e-11
"26","ADK",0.227607079813514,2.25153659248088e-11
"27","AGO4",0.0326025767875417,7.55062243401446e-08
"28","AGTRAP",0.127447800296251,1.02796673957158e-08
"29","AGTRAP",0.00161493094559409,1.02796673957158e-08
"30","AHNAK",0.00118198574058501,0.000862384706608691
"31","AHNAK",0.280531593573057,0.000862384706608691
"32","AHNAK",0.336447945305009,0.000862384706608691
"33","AIG1",0.00662006920103088,0.00307529879912942
"34","AK2",0.00776109983340654,0.00198524036881399
"35","AK2",0.115371809783069,0.00198524036881399
"36","AK2",0.294261003903926,0.00198524036881399
"37","AKIRIN2",0.0242067402875467,6.14338081545405e-08
"38","ALOX5",0.112474473113953,8.31738508269979e-07
"39","ALOX5",0.0051729411127221,8.31738508269979e-07
"40","ALOX5AP",1.35228734871805e-05,1.26794734554652e-11
"41","ALPL",0.0469927344733948,0.0126683711688131
"42","AMD1",0.0163812452906542,5.81884029262337e-13
"43","AMD1",0.405062637944229,5.81884029262337e-13
"44","ANTXR2",0.0148504977611005,5.06009032751403e-08
"45","AP3M2",0.00596974152975232,7.27906651752894e-09
"46","APAF1",0.00841191292358014,6.73692059442159e-09
"47","APAF1",0.488867472787048,6.73692059442159e-09
"48","APBB1IP",0.000991803945000804,1.0098401673977e-08
"49","APEX1",0.00889675511903424,9.49941297895691e-09
"50","APEX1",0.00832163902859458,9.49941297895691e-09
"51","APMAP",0.0128286983234413,3.02009272623087e-12
"52","APOL2",0.464616443982961,3.36358125602877e-06
"53","APOL2",0.0277117482321743,3.36358125602877e-06
"54","APOL2",0.396675711378374,3.36358125602877e-06
"55","APRT",0.572250369605528,2.88977855149578e-06
"56","APRT",0.0041097858437825,2.88977855149578e-06
"57","AQP9",0.00313273242433033,2.93744233905502e-10
"58","ARAP3",0.021089163444552,2.12387708535531e-06
"59","ARG1",0.00141893719176436,3.68557076743645e-08
"60","ARHGAP17",0.0115163796401415,0.000197698905894869
"61","ARHGAP17",0.759161451075015,0.000197698905894869
"62","ARHGAP21",0.048430406453716,0.00281634511381832
"63","ARHGAP25",0.660449162747848,1.72920710238945e-11
"64","ARHGAP25",0.0154442891284374,1.72920710238945e-11
"65","ARHGAP25",0.464451464920688,1.72920710238945e-11
"66","ARHGAP9",9.6149343550302e-05,2.6190729585389e-10
"67","ARHGAP9",0.00119281991918342,2.6190729585389e-10
"68","ARHGEF18",0.00458314119954453,6.46771728398308e-07
"69","ARHGEF40",0.0049799472977606,0.000103112817238218
"70","ARL15",0.522359151926625,0.00115114341481243
"71","ARL15",0.00327566476113964,0.00115114341481243
"72","ARRB2",0.682088764729568,6.14741874656046e-09
"73","ARRB2",0.0125501274789893,6.14741874656046e-09
"74","ARRDC3",0.0239056352018242,7.59250371632604e-05
"75","ARRDC3",0.135032590526496,7.59250371632604e-05
"76","ARSG",0.0265925463393269,1.42558409751909e-07
"77","ASB1",0.00767041085089098,0.00624492580385666
"78","ASCC3",0.0246819926567803,0.00613017919287229
"79","ASCC3",0.218400938611064,0.00613017919287229
"80","ASCC3",0.361079686064293,0.00613017919287229
"81","ATG2A",0.000362228550327203,4.52254465764576e-12
"82","ATIC",0.00130610513140073,1.14446530428149e-05
"83","ATP1A1",0.0444266832234643,6.61285565032346e-07
"84","ATP1A1",0.186884994797313,6.61285565032346e-07
"85","ATP1A1",0.825423114951782,6.61285565032346e-07
"86","ATP1B1",0.39987796268768,0.0105754307311707
"87","ATP1B1",0.156696022702193,0.0105754307311707
"88","ATP1B1",0.0189587499497242,0.0105754307311707
"89","ATP1B3",0.0322858631819155,0.00794689695713923
"90","ATP1B3",0.832184145927006,0.00794689695713923
"91","ATP1B3",0.256160764693376,0.00794689695713923
"92","ATP2C1",0.932017249982598,0.00480103133827138
"93","ATP2C1",0.256322199397652,0.00480103133827138
"94","ATP2C1",0.0476659415903681,0.00480103133827138
"95","ATP6V0B",0.0374520816111628,1.25168791591388e-07
"96","ATP6V0B",0.0540786782304528,1.25168791591388e-07
"97","ATP6V0E2",0.024520512286369,7.43448069549885e-05
"98","ATP6V1A",0.00141376330215407,4.0973309301312e-09
"99","ATP6V1B2",0.00697381778968662,1.10498460199821e-11
"100","AVIL",0.00719951781362399,2.96793081907515e-09
"101","B4GALT4",0.0258207527181461,0.00073573879973769
"102","B4GALT4",0.415664783084405,0.00073573879973769
"103","B4GALT5",0.000554557480712699,2.1477845073976e-12
"104","BACH2",0.364389644243892,1.15385916659654e-15
"105","BACH2",0.120583690465022,1.15385916659654e-15
"106","BACH2",0.07433448313419,1.15385916659654e-15
"107","BACH2",0.0177485940498356,1.15385916659654e-15
"108","BAG3",0.00285581228992901,0.000556600881482488
"109","BASP1",0.00120874788586385,1.20880885799612e-07
"110","BAZ1A",0.0790153142994499,7.63226968603364e-08
"111","BAZ1A",0.00436181829900599,7.63226968603364e-08
"112","BAZ2B",0.00617726131035092,3.18963785140059e-06
"113","BCAS4",0.392658325475639,1.61021275747055e-05
"114","BCAS4",0.00174758389553632,1.61021275747055e-05
"115","BCAS4",0.0131630301527341,1.61021275747055e-05
"116","BCCIP",0.0308498146436272,0.0114585115697003
"117","BCCIP",0.335393350505824,0.0114585115697003
"118","BCCIP",0.488893192155013,0.0114585115697003
"119","BCCIP",0.48907807411456,0.0114585115697003
"120","BCL11B",0.0375016499223206,6.11679706970812e-12
"121","BCL2",0.192069181421252,2.55807556980384e-16
"122","BCL2",0.00194270773580771,2.55807556980384e-16
"123","BCL3",0.00090797594899928,5.16193931694372e-07
"124","BCL6",0.00469943205907856,1.51160179613052e-08
"125","BCL6",0.000127619378136365,1.51160179613052e-08
"126","BEND2",0.0227115795717729,0.000123411437987765
"127","BEND2",0.0429744313379748,0.000123411437987765
"128","BEST1",0.0012433908075817,2.58726122580305e-08
"129","BET1L",0.000452454134632438,0.000298856508011121
