"","eQTL p_val","GWAS p_val","#State Studies","#Trait Studies","Expression Level Percentile","Repeatability Percentile","Genetic Var Percentile","#Trait Assoc"
"CNPY4",4.43,8.15,2,2,36,46,61,52
"TBXAS1",13.04,8,3,5,6.2,7.1,22,14
"TBXAS1",13.04,10.05,3,5,6.2,7.1,22,14
"TBXAS1",13.04,5.4,3,5,6.2,7.1,22,14
"TBXAS1",13.04,8.15,3,5,6.2,7.1,22,14
"TBXAS1",13.04,8,3,5,6.2,7.1,22,14
"GFPT1",18.92,9.3,4,3,54,70,62,21
"GFPT1",18.92,7.7,4,3,54,70,62,21
"NFU1",2.24,7.7,4,0,31,61,61,8
"NFU1",2.24,9.3,4,0,31,61,61,8
"PRKAR1A",7.27,8.7,5,4,1,63,56,44
"PRKAR1A",7.27,8.4,5,4,1,63,56,44
"PRKAR1A",7.27,9.3,5,4,1,63,56,44
"PCCB",11.2,14.22,2,3,25,29,55,210
"PCCB",11.2,11.1,2,3,25,29,55,210
"PCCB",11.2,8,2,3,25,29,55,210
"APEH",2.74,7.22,2,2,13,47,70,63
"TAF1A",14.89,47.3,4,0,78,66,59,30
"TAF1A",14.89,27.05,4,0,78,66,59,30
"TAF1A",14.89,22,4,0,78,66,59,30
"TAF1A",14.89,35.3,4,0,78,66,59,30
"TAF1A",14.89,35.3,4,0,78,66,59,30
"TAF1A",14.89,27.22,4,0,78,66,59,30
"TAF1A",14.89,30.1,4,0,78,66,59,30
"CD300LF",7.03,7,2,7,3.7,3.8,18,18
"MYO9B",3.08,7.4,4,2,12,79,83,35
"MYO9B",3.08,7.15,4,2,12,79,83,35
"MYO9B",3.08,7.15,4,2,12,79,83,35
"MYO9B",3.08,7.7,4,2,12,79,83,35
"MAP1S",10.89,14.4,2,1,24,50,52,21
"MAP1S",10.89,14.52,2,1,24,50,52,21
"MAP1S",10.89,13.1,2,1,24,50,52,21
"MAP1S",10.89,12.22,2,1,24,50,52,21
"MAP1S",10.89,13,2,1,24,50,52,21
"HNRNPUL1",4.85,15.3,2,2,2.8,59,76,10
"HNRNPUL1",4.85,14.15,2,2,2.8,59,76,10
"CCDC97",1.74,14.15,2,3,16,48,70,4
"LIPA",62.12,5.15,1,5,3.5,4.3,8.4,29
"LIPA",62.12,23.7,1,5,3.5,4.3,8.4,29
"LIPA",62.12,28.4,1,5,3.5,4.3,8.4,29
"LIPA",62.12,11.3,1,5,3.5,4.3,8.4,29
"LIPA",62.12,20.7,1,5,3.5,4.3,8.4,29
"LIPA",62.12,21.52,1,5,3.5,4.3,8.4,29
"LIPA",62.12,9,1,5,3.5,4.3,8.4,29
"LIPA",62.12,28,1,5,3.5,4.3,8.4,29
"LIPA",62.12,15.52,1,5,3.5,4.3,8.4,29
"LIPA",62.12,27.52,1,5,3.5,4.3,8.4,29
"ZCRB1",2.77,7.52,4,3,38,37,43,22
"DDAH2",3.55,8.52,3,1,29,57,62,161
"DHX36",3.03,7.7,3,2,24,71,74,24
"DHX36",3.03,14.52,3,2,24,71,74,24
"DHX36",3.03,14,3,2,24,71,74,24
"DHX36",3.03,9,3,2,24,71,74,24
"DHX36",3.03,12,3,2,24,71,74,24
"DHX36",3.03,13.4,3,2,24,71,74,24
"DHX36",3.03,13.3,3,2,24,71,74,24
"ZNF664",6.74,8.4,3,1,32,44,45,203
"ZNF664",6.74,8.4,3,1,32,44,45,203
"ZNF664",6.74,7.7,3,1,32,44,45,203
"ZEB1-AS1",3.42,7.7,3,0,65,54,54,6
"SIPA1",7.8,10.52,3,1,3.6,77,83,120
"SIPA1",7.8,7.7,3,1,3.6,77,83,120
"SIPA1",7.8,7.4,3,1,3.6,77,83,120
"SIPA1",7.8,10.7,3,1,3.6,77,83,120
"SIPA1",7.8,9.05,3,1,3.6,77,83,120
"SIPA1",7.8,11,3,1,3.6,77,83,120
"SAP130",2.19,7.52,2,1,18,28,50,2
"ARHGEF6",7.51,8.05,1,3,2.3,18,51,3
"NRIP1",3.8,8.15,4,1,29,41,35,3
"HSPA1B",3.66,8.52,3,6,25,6,9,117
